[000:00] 那今天的分享了
[023:12] 给大家来详细看一下
[023:13] 下方这种具体的
[023:15] 一个广告架构类型
[023:17] 好的
[023:17] 非常感谢大鹏老师
[023:19] 所以在功能基础管当中的话
[023:20] 我们通过高客单架
[023:21] 低客单架的话
[023:22] 也进一步的去把我们这产品
[023:25] 做了一个细分
[023:26] 那卖家朋友们也可以参照着
[023:28] 自己的产品的类型呢
[023:29] 去做一个一一对应啊
[023:31] 我们就一起来
[023:32] 从高客单架
[023:33] 长决策周期的这种产品呢
[023:36] 来去展开讲解
[023:37] 那我们在展开这个部分的话
[023:39] 我们都来看一下
[023:40] 这里有一组非常有意思的树啊
[023:43] 那这个树的话
[023:44] 其实就是我们一直在讲到的
[023:45] AZEN生命周期
[023:46] 那这个AZEN生命周期呢
[023:47] 我们可以看一下
[023:48] 这里的话是展现了
[023:50] 美国服饰品类SUIT
[023:52] 就西装这些类目
[023:53] 头部25%和尾部25%的AZEN
[023:57] 它们的生命周期趋势图
[023:59] 我们可以看一下
[023:59] 这里有个非常有意思的一个现象
[024:01] 左边呢
[024:02] 是我们的头部25%的AZEN
[024:04] 那么它的整个销售呢
[024:06] 是处于一个逐步增长的一个状态
[024:09] 并且在第35个月的时候
[024:11] 开始达到峰值
[024:12] 那么达到峰值之后呢
[024:14] 虽然有个波动
[024:14] 但它依然是处于一个高位的一个区间
[024:17] 那么在第36个月的时候
[024:19] 依然处于峰值的50%以上
[024:21] 但是我们再来看一下
[024:22] 右边的这个尾部的
[024:24] 25%的AZEN
[024:25] 我们会发现尾部的AZEN
[024:26] 它基本上涨到了第7个月之后
[024:28] 达到峰值了之后
[024:30] 就开始进入到了快速下降的趋势
[024:32] 也就是说头部AZEN
[024:34] 在美国占的服饰的这个SUIT内幕
[024:37] 高科单价长决策周期的这样一个类目下
[024:40] 我们会发现头部AZEN的生命周期
[024:43] 是同类AZEN的5倍之多
[024:45] 那到底头部AZEN做对了什么
[024:47] 到底它们在每个阶段
[024:49] 它们做了什么事情
[024:51] 让它们的生命周期可以变得这么的长
[024:53] 相对于尾部AZEN能够达到5倍之多呢
[024:55] 我们进一步的来看一下
[024:57] AZEN生命周期的这样一个趋势图
[024:59] 背后藏着的这些数据
[025:01] 这里的话
[025:02] 我们给大家把这样一个非常详细的数据呢
[025:05] 给大家展示出来了
[025:06] 在这个详细数据下的话
[025:08] 深度的去拆解了头部AZEN
[025:11] 对比尾部AZEN
[025:13] 在刚才讲到的高科单价的功能基础款
[025:16] SUIT的这个类目
[025:17] 新品期成长期和成熟期
[025:21] 头部AZEN对于尾部AZEN
[025:23] 它的一个广告表现的一个差异
[025:25] 这种数据的话
[025:26] 其实我们会发现
[025:27] 在这里可以看到
[025:29] 在SUIT的这个类目
[025:30] 长决策高科单价的产品上
[025:33] 这样的一个差距呢
[025:34] 它不是一开始就拉大的
[025:36] 它是随着生命周期的推进
[025:39] 而足步放大的
[025:40] 因为我们可以看一下这里
[025:41] 第一个在新顶期
[025:43] 头部AZEN的话
[025:44] 它的整个曝光和顶级
[025:46] 其实并没有高
[025:48] 尾部AZEN有高太多
[025:49] 反而我们可以看一下
[025:51] 它其实在CVR跟我们的RowS上
[025:54] 也就是转化率和RowS上
[025:57] 它是相对来讲
[025:58] 比尾部的AZEN
[025:59] 是有一个明显的差距
[026:01] 那这样一个明显的差距呢
[026:02] 其实说明了一个点啊
[026:03] 在我看来的话
[026:04] 就会发现说
[026:05] 头部AZEN它在一开始
[026:06] 它并没有去盲目的去拼曝光
[026:08] 而是通过高转化率和高RowS
[026:12] 来为自己的AZEN
[026:13] 去建立一个良好的基础
[026:14] 那么再来看一下
[026:15] 到了成长期之后
[026:16] RowS开始下降到了1.3倍
[026:19] 但我会发现
[026:20] 头部AZEN它开始进行
[026:21] 品牌推广广告的一个投放
[026:23] 那这个时候
[026:24] SB的一个参与度的话
[026:26] 头部AZEN相对于
[026:28] 尾部AZEN来讲
[026:28] 出现了6.8倍之多
[026:30] 那这样的一个投放的话
[026:32] 它其实会带来一个
[026:33] 什么样的一个巨变
[026:34] 这个巨变的话
[026:35] 是在乘数期换来了
[026:37] 在乘数期上
[026:38] 整个曝光点击上
[026:39] 是有一个明显快速的提升的
[026:42] 我们可以看一下
[026:42] 乘数期的时候
[026:43] 曝光呢
[026:44] 是达到了16.8倍
[026:45] 点击量的话
[026:46] 是达到了18.4倍
[026:48] 所以我们总结下
[026:49] 我们会发现
[026:50] 通过这样的一组数据
[026:52] 头部AZEN和尾部AZEN
[026:54] 在不同的生命周期下
[026:56] 它的广告的对比
[026:57] 我们会发现
[026:58] 头部AZEN它采用的是一种
[027:00] 稳扎稳打
[027:01] 逐步拉开
[027:02] 差距的广告打法
[027:03] 那么这个广告打法
[027:04] 落实到具体
[027:06] 该怎么去搭建
[027:07] 广告架构
[027:08] 那么我们来听听
[027:09] 大鹏老师
[027:10] 他的一个实战的经验
[027:12] 那其实从这个
[027:13] 数据里边的话呢
[027:14] 我们其实不难发现
[027:15] 头部的话
[027:16] 他们是刚开始
[027:17] 在一个初期呢
[027:19] 去做投放的时候
[027:20] 其实主要的话
[027:22] 它是要做到一个
[027:24] 更高的一个
[027:25] 点击率和转化率
[027:26] 那么在它
[027:27] 成长期这个样的里面的话
[027:29] 它是借助着一个品牌的
[027:31] 这种推广的话
[027:32] 做的一个放量
[027:33] 那么在成熟期里面的话呢
[027:35] 虽然有所收量
[027:36] 但是呢
[027:37] 它已经积累了
[027:38] 比较多的一个品牌
[027:40] 收入的一些粉丝
[027:40] 顾客人群
[027:41] 所以他们在
[027:42] 后期阶段的话
[027:43] 里头能够看到
[027:44] 它这个整个的话
[027:45] 虽然RES比较
[027:46] 略有些下降
[027:47] 但是呢
[027:48] 整个的话
[027:48] 曝光的话
[027:49] 已经抓的是足够多了
[027:51] 于是这个曝光出手
[027:52] 它的一个出点的话
[027:53] 抓的是非常多的
[027:54] 那么下面呢
[027:55] 我们来把这块的话
[027:56] 详细拆解一下
[027:57] 给大家来做个分析
[027:58] 首先是新品期
[027:59] 那么新品期呢
[028:00] 这里面我们呢
[028:01] 建议大家是
[028:03] 不要盲目去拼曝光
[028:05] 而是通过呢
[028:06] 更高低格转化率
[028:08] 以及JS指标的话
[028:09] 建立一个良好的基础
[028:11] 因为在这个阶段里面
[028:12] 我们呢
[028:13] 用到的是商品广告
[028:15] 属多
[028:16] 之后呢
[028:16] 跟我们的链接
[028:17] 因为我们的链接
[028:18] 新上架的时候
[028:19] 是没有太多的一个画像
[028:21] 和一个属性收入的
[028:23] 虽然的话
[028:23] 我们可能通过我们的文案的话呢
[028:25] 写了一些我们的一些关键词
[028:27] 上传了我们一些产品
[028:29] 一些特殊的卖点呀
[028:30] 属性
[028:31] 那系统
[028:31] 它是有初步画像收入的
[028:33] 但是呢
[028:33] 在初期
[028:34] 没有太多流量数据的情况下
[028:36] 其实还是我们需要进入做广告
[028:39] 来告给系统呢
[028:41] 比如说能够
[028:42] 我们在哪些属性上面
[028:43] 能够拿到有效的转化
[028:45] 拿到有效的点击
[028:46] 并且呢
[028:47] 顾客通过买回去之后
[028:49] 他是否愿意给我们比较多的好评
[028:51] 来去建立我们一个前期良好的基础
[028:54] 那么在这个节目案里面的话
[028:56] 新品期我们来看一下
[028:57] 商品广告里面
[028:58] 我们其实可以分配
[028:59] 给手动观点词
[029:01] 50%预算
[029:02] 那么这份预算是用来干什么的呢
[029:04] 我们可以去思考一下
[029:06] 因为这种产品
[029:07] 它的属性可能确实比较多
[029:10] 尤其是
[029:10] 比如说试用场景
[029:12] 很像修身啦
[029:13] 舞会啦
[029:14] 这种的属性
[029:15] 等等我们可能会在
[029:16] 我们的一些工具呀
[029:18] 后台的笔项这门塑次里面
[029:19] 找出来非常多的属性
[029:20] 那我们前期的话呢
[029:22] 先避开跟头部卖家
[029:24] 在这种非常泛的
[029:26] 类目词上面
[029:27] 去做一个
[029:28] 影碰印
[029:28] 我们先放到
[029:29] 跟我们产品相关性属性
[029:31] 比较高的
[029:32] 一些属性词上面
[029:33] 让流量入口给它扩开
[029:35] 那么在成长
[029:37] 在新品期里面的话
[029:38] 我们来看一下
[029:39] 就是还可以去考虑到
[029:41] 布局自动广告
[029:42] 那么自动广告的话
[029:43] 在这个阶段里面
[029:44] 它主要的一个目的是
[029:46] 给我们围绕我们这个链接
[029:48] 所描述的一些产品期
[029:50] 这种自动帮助我们卖家的话
[029:51] 去做一些关键词的
[029:53] 一些匹配
[029:54] 一些拓展
[029:55] 那么有些的话
[029:56] 我们可能会在初期再去
[029:58] 比如说搭建自己的词库的时候
[029:59] 包括呢
[030:00] 去明确我们属性手
[030:01] 有些属性我们可能还没有找权
[030:03] 那么自动广告的话
[030:04] 这是一个非常有效的出手
[030:06] 能够帮助我们卖家的话
[030:08] 找出来我们之前没有发现的一些属性
[030:11] 那么再可以呢
[030:12] 我们分配20%预算的话
[030:14] 放到商品投放里面
[030:16] 商品投放呢
[030:17] 里面其实我们链接的话
[030:18] 因为上架初期跟现有品类里边的一些老的链接
[030:23] 确实你的reading数
[030:25] 这些信任背书上面的话
[030:26] 会存在一些差距
[030:27] 所以我们在前进化初期呢
[030:30] 链接标签也不太明确
[030:32] 而且转化率也没有很高
[030:33] 所以我们就可以去做一个划分
[030:36] 比如说现在的话
[030:37] 我的链接上线之后是有出单的
[030:39] 那么我可以优先去找一下
[030:41] 看一看在这个品类里面
[030:43] 新品榜单
[030:44] 跟我直接对标的种产品
[030:46] 包括呢
[030:47] Bizzer榜单建议大家是找榜单了50名以后的
[030:50] 因为找的比较靠前的话
[030:52] 确实呢
[030:52] 就是reading数
[030:53] 刚才是有说过
[030:54] 我们可能会跟一些老的链接上面的话
[030:56] 存在比较大的一个差距
[030:58] 新人背书的话可能会有些缺失
[031:00] 所以我们可以找榜单比较靠后的
[031:04] 又跟我们直接对标这种竞品
[031:06] 我们呢
[031:07] 把我们的一个广告的话
[031:08] 投放到
[031:09] 第一个是他的产品详情页
[031:10] 当然呢
[031:11] 我们在商品广告推广的时候
[031:13] 投放的时候呢
[031:14] 他也会发现
[031:15] 我们去定投一个A-SEN
[031:16] 其实顾客在前台的话呢
[031:18] 搜索跟这一个产品有关的观点词
[031:22] 看到他自然位的时候
[031:23] 也可以在搜索结果页面呢
[031:25] 把我们这种商品A-SEN
[031:27] 定投的广告被给我们带出来
[031:29] 但是想想
[031:30] 比如说举个例子啊
[031:31] 假如说现在顾客搜索了一个
[031:34] SOOT4MAN
[031:35] 或者说带了个颜色
[031:36] BLACKSOOT4MAN
[031:37] 这个词
[031:38] 那么我们的话
[031:39] 也是卖这种黑色的一个
[031:41] 就是西服套装
[031:42] 我们找到我们对标产品之后
[031:44] 我们其实可以去定投这个A-SEN
[031:46] 那么定投这个A-SEN之后
[031:47] 我们在广告位里面
[031:48] 大家也会发现啊
[031:49] 它是能够在广告位里面的话
[031:51] 手叶顶部和其位置款
[031:53] 能够去设置这个百分比的
[031:54] 那么当我们给了一些百分比之后
[031:58] 其实我们会发现
[031:59] 当顾客搜索这个词的时候
[032:01] 看到这一个我们定投的这个链接
[032:04] 到它的自然位
[032:04] 我们的广告位会带出来
[032:06] 在它的旁边
[032:07] 那么你想
[032:08] 顾客的路径是搜索了这个词
[032:10] 如果看到它的自然位
[032:11] 我们的广告位也展出出来
[032:12] 但是如果它在两者之间对比里面的话
[032:15] 点了我们
[032:16] 并且最终的话购买了我们
[032:17] 是不是我们能够变相的话
[032:19] 虽然我们是没有直接去打这个词啊
[032:21] 这个A-SEN定投里面
[032:22] 我们是打了这个精品的A-SEN
[032:23] 但是呢
[032:24] 我们是变相的话
[032:25] 让顾客搜索了这个词
[032:27] 看到精品的自然位之后
[032:28] 把我们给带出来
[032:29] 这样的话
[032:30] 也是能够增加我们的一个标签的一个收入的
[032:33] 那么当我们标签的话
[032:35] 其实收入后续完成之后
[032:36] 我们会发现
[032:37] 经过一段时间的积累
[032:38] 我们这个自然流量
[032:40] 它增长的话
[032:40] 将会比较迅速
[032:42] 所以呢
[032:42] 这个点的话
[032:43] 也是我们后续的话
[032:45] 在投楼动作里面
[032:46] 同时布局关键词的同时呢
[032:48] 还是需要
[032:48] 同时去布局这个商品的一个投放的
[032:52] 那么再来往下来看的话呢
[032:54] 其实我们也会建议呢
[032:55] 可以分配10%的一个预算放到一个品牌推广
[033:00] 但这里的话
[033:01] 对于这种高价的一个产品
[033:04] 尤其新领期
[033:05] 我们呢
[033:06] 可以用少量一些素材
[033:07] 前期的话
[033:08] 来去做一些测试
[033:09] 但我们主阵地的话
[033:10] 还是围绕着一个商品广告里面的话
[033:13] 各项的投入入口
[033:15] 先把它固局的比较全面
[033:16] 但在这个阶段里面的话
[033:17] 我们也会发现啊
[033:18] 因为我们在商品广告里头
[033:20] 投的此
[033:20] 包括自动广告里头
[033:21] 这种类型的话广告
[033:22] 预算占比会给的商品颜出比较多
[033:25] 所以它系统的话
[033:26] 必然会跑出来一些
[033:28] 跟我们有相关性属性的词
[033:31] 也可能会跑出来一些什么呢
[033:33] 跟我们没有太强相关性的属性的一些词
[033:36] 比如说举个例子啊
[033:38] 假如以服饰品的里面
[033:39] 有这种亚麻材质
[033:41] 还有这种羊龙材质
[033:42] 那么这些材质的话
[033:43] 可能我们去带这个手动投广里面
[033:45] 包括自动广告里面的话
[033:46] 都有可能会匹配出来
[033:47] 那么如果匹配出来之后
[033:49] 我们经过下载我们的搜索词
[033:51] 或者搜索词展示份额报告
[033:53] 我们可以单独去按照属性来
[033:55] 去做一下法文
[033:56] 比如说我在搜索词里面的话
[033:57] 单独去搜索一下
[033:59] 比如说亚麻这个材质
[034:00] 或者羊龙这个材质
[034:01] 或者唇棉这种材质
[034:02] 我看一下
[034:03] 我把它的一个曝光点击订单
[034:07] 以及花费
[034:08] 这几项指标的话
[034:09] 我分别去详细
[034:10] 看一下所有拓展词里面
[034:11] 包含了这种属性的词
[034:13] 它一共的一个点击率
[034:16] 还有的转化率是多少
[034:17] 经过属性和属性之间
[034:19] 去做对比里面呢
[034:20] 我们其实也能够发现
[034:22] 现阶段的话
[034:22] 我们该侧重的话
[034:24] 往哪些属性上班去做一个投放
[034:25] 因为相信的话
[034:27] 卖家们也会发现
[034:28] 你再去推这种服饰品的里面的话
[034:31] 尤其是比较天生一种飞标的一些产品
[034:34] 你的广告里面的话
[034:35] 很多这种数据都是一两次点击
[034:37] 有的是出入定单
[034:38] 有的是没出定单的
[034:40] 它的一个流量会非常分散
[034:42] 那这种情况下的话
[034:43] 我们在搜索词里面
[034:44] 你单独去看某一个具体的词
[034:46] 其实无法去做到一个有效的分析
[034:48] 因为这是偶然数据
[034:49] 但是如果我们把
[034:51] 像我刚才所说的
[034:52] 不同的属性之间做好归类之后
[034:54] 我们在搜索词里面
[034:55] 单独去搜索这个属性
[034:56] 看一下所有包含这个属性的
[034:58] 这么多关键词
[034:59] 累计它的一个曝光
[035:01] 点击订单
[035:02] 还有能想象的花费
[035:03] 这样子呢
[035:04] 我们就能够很清楚的对比
[035:06] 比如说到底是哪种材质
[035:08] 哪种属性
[035:09] 到底是比如修身啊
[035:11] 还说这种性感的
[035:12] 或者说是舞会晚宴
[035:14] 等等这些属性的话
[035:15] 我们可以去做一下对比
[035:16] 那么也能够在这个阶段里面
[035:18] 找出来我们重心广告
[035:20] 要去往哪些
[035:21] 就是属性词上
[035:23] 去做一个布局和投留
[035:24] 因为我们会发现
[035:25] 在清明期里面的话
[035:27] 我们重心的话
[035:28] 是在商品广告里面的
[035:30] 手动官司广告的话
[035:31] 预算会分配的比较多
[035:32] 但至在这个点的话呢
[035:34] 我们也建议呢
[035:35] 伙伴们可以去考虑一下
[035:37] 就是前期的话
[035:38] 把你的词库这块的话
[035:40] 搭建的相对来说
[035:41] 比较完善一些
[035:42] 因为再去做
[035:43] 关键词分析里面的话呢
[035:45] 也给大家
[035:46] 简单分享一下
[035:48] 就是平常我自己
[035:49] 也在用的一些方法
[035:51] 我就快要共享一下
[035:52] 屏幕来给大家看一下
[035:53] 首先的话呢
[035:54] 我会去先到
[035:56] 这个商品探测器里面
[035:57] 先去看一下
[035:58] 商品探测器里面呢
[035:59] 我们其实可以去
[036:00] 比如说以这个
[036:01] 搜图为例
[036:01] 这个基辅为例
[036:02] 搜图完它的关键词之后呢
[036:04] 在众足这种细分市场里面的话呢
[036:06] 找一个跟我们最相关的细分市场
[036:09] 进入进来之后
[036:10] 我们其实像刚才
[036:11] 有个大家提到的
[036:12] 买家评论见解
[036:13] 这是我们在前期的链接上线之前
[036:15] 我们可以重点去关注
[036:17] 到底顾客
[036:18] 买回去这种产品
[036:19] 好评点
[036:20] 提及率比较高的
[036:21] 还有呢
[036:22] 差评点提及率比较高的
[036:23] 原因都是什么
[036:24] 我们其实可以针对这部分的话
[036:26] 去做出一些改进和升级
[036:27] 这是第一个啊
[036:28] 那么在搜索词里边
[036:29] 我们是能够看到
[036:31] 比这个细分市场为例的话呢
[036:32] 那么亚马逊的话
[036:33] 后台商品探测器里面
[036:35] 给到我们有他20个
[036:37] 这种细分市场符合的关键词
[036:39] 那么这个关键词
[036:40] 我们前期再去做分析里边
[036:42] 当然我们也会发现
[036:43] 有一些词的话呢
[036:44] 可能是跟我们产品属性
[036:46] 非常相关的
[036:47] 有些可能是弱相关的
[036:48] 我们可以通过这里的话
[036:49] 先去做一个分析
[036:50] 当然这个表格呢
[036:52] 我们可以直接把它下载出来
[036:54] 啊下载出来
[036:55] 当点开这个表格之后
[036:56] 我们可以先去
[036:58] 针对这种不同的词
[037:00] 我们先去做一个分析
[037:02] 那么我们来看一下
[037:03] 在商品探测器里边的话呢
[037:05] 其实搜索词选项卡里面
[037:07] 我们能够看到
[037:08] 平台会给到我们卖家
[037:10] 20个跟这个信条有关的关键词
[037:12] 一个词条
[037:13] 里边有些词条
[037:14] 它是包含了一些属性的
[037:16] 比如说颜色属性
[037:17] 还有呢
[037:18] P字数量这种属性
[037:19] 包括可能会出现一些
[037:20] 试用场景等等这些属性
[037:22] 那么我们在前期
[037:23] 去做归类的时候呢
[037:24] 其实我们不妨呢
[037:25] 可以去做一些
[037:26] 这种的一个数据统计啊
[037:28] 就是我们可以去算一下
[037:29] 它这块的一个
[037:30] 360天的一个
[037:32] 订单数到底有多少
[037:34] 那么商品探测器里面的话
[037:35] 它这一块的一个
[037:36] 数据统计的
[037:37] 只有搜索结果页面的数据啊
[037:39] 大家可以这样的来去
[037:40] 使操一下
[037:41] 你像我们在
[037:42] 看这里面的话
[037:43] 会发现并没有
[037:45] 平台直接给到我们
[037:46] 买家一个具体的一个订单数
[037:48] 但是它给到了我们一个
[037:49] 过去360天的搜索量
[037:51] 同时呢
[037:52] 还给到了我们一个
[037:53] 过去360天的搜索转化率
[037:55] 当这两个值一相成之后
[037:57] 我们是不是就能够看到
[037:58] 在过去360天
[038:00] 在搜索结果页面里面
[038:01] 对应的这些词
[038:02] 它在这个系统上里面
[038:04] 所共擅传的订单数有多少
[038:05] 那么这里面
[038:06] 大家可以看一个
[038:07] 比较有意思的事情
[038:08] 就是我们呢
[038:09] 因为是20个观念词啊
[038:10] 我们可以搜索量
[038:11] 去做个将讯
[038:12] 将讯呢
[038:13] 我们取前10个来标注一下
[038:15] 比如说
[038:16] 这是我取的前10个词
[038:17] 那我们再来去把这个订单数呢
[038:19] 我们去做个将训
[038:20] 去做个排训
[038:21] OK
[038:21] 我标注出来是这些颜色
[038:22] 那么在这个里边的话
[038:24] 我们就会发现一个问题啊
[038:25] 哎
[038:26] 挺有意思的
[038:26] 按道理来说的话
[038:27] 搜索量
[038:28] 因为我刚才的话
[038:29] 是做了个将训排训
[038:30] 要把前10标注个颜色
[038:32] 订单数的话
[038:32] 我也去做个将训
[038:33] 标注个颜色
[038:34] 会发现
[038:35] 搜索量高的词
[038:37] 那确实啊
[038:38] 有一些词的话
[038:38] 对应的
[038:39] 订单供远效率
[038:40] 它也是比较高的
[038:41] 但是我们会发现
[038:42] 有一些
[038:42] 比如说这块
[038:43] 这种搜索词的话呢
[038:45] 它搜索量看似比较高
[038:47] 但是它订单效率
[038:48] 贡献的可能
[038:49] 却不是很高
[038:50] 那有一些双绿色的词的话
[038:51] 就是搜索量高
[038:52] 订单效率
[038:53] 贡献的也是比较高的
[038:54] 所以我们在这里面的话
[038:55] 就能够有所区分
[038:56] 那么这些词属性里边的话
[038:58] 我们就可以给它
[038:59] 先去做一下归类
[039:01] 看看它到底包含了
[039:02] 属性是哪一些
[039:04] 那么这种属性的话
[039:05] 跟我们产品的属性的
[039:06] 是否相关
[039:07] 大家重复一下
[039:08] 刚才我说的这个点啊
[039:09] 逻辑点就是什么呢
[039:10] 搜索量你看
[039:11] 高的我标注了个绿色
[039:15] 那有这种双绿的
[039:16] 那也有这种搜索量
[039:17] 它不是没有标注绿色
[039:19] 但是呢
[039:20] 订单效率
[039:21] 它这块的话
[039:22] 我是标注了一个绿色的
[039:23] 因为都取的是前十
[039:25] 我们能够看到
[039:26] 你像有一些这种词
[039:28] 它的搜索量
[039:29] 虽然不是很大
[039:30] 但是它订单效率
[039:31] 贡献来看的话呢
[039:32] 它是比下方这种
[039:33] 我标注红色的
[039:35] 它订单效率要更高
[039:36] 那么里面
[039:36] 我们是不是就可以先去
[039:38] 尤其是在前期
[039:39] 广告投放前的话
[039:40] 搭建词库这块
[039:41] 先去把它的一个
[039:42] 属性词
[039:43] 给它先明确出来
[039:44] 包括这个属性的话
[039:45] 跟我产品相不相关
[039:46] 如果相关性可以
[039:48] 它又是这个新生产里边
[039:50] 主要产生搜索
[039:51] 主要在产生订单的
[039:52] 那是不是也就是
[039:53] 回到我们刚才的
[039:54] 一个PT里面
[039:55] 给大家所提到的
[039:56] 我们是不是前期重点
[039:58] 可以去埋调这些词
[039:59] 相关性属性高的词
[040:01] 并且呢
[040:02] 搜索量和订单效率
[040:03] 贡献的也比较高
[040:04] 在商信探测器里面
[040:05] 我们算出来之后
[040:06] 埋调这些词的话
[040:07] 前期去积累我们的一个
[040:09] 初期的数据
[040:10] 做到一个更有效的一个转化
[040:12] 为什么我们有时候会看到
[040:13] 一些词搜索账
[040:14] 打蛋的效率
[040:15] 贡献比较低呢
[040:16] 就是
[040:16] 其实给大家举个例子
[040:18] 有些词的话
[040:19] 其实顾客在搜索钱的话
[040:21] 他可能确实会用到
[040:22] 这种词来去搜索
[040:23] 但是最终影响
[040:24] 他购买决策的
[040:25] 可能并不是这些词
[040:26] 可能是一些别的词
[040:28] 或者说一些常委词
[040:29] 或者带有一些属性的词
[040:30] 所以呢
[040:30] 我们前去划
[040:31] 再把词的话
[040:32] 前去做一个
[040:33] 这块这个划分
[040:34] 当然在这块呢
[040:35] 看完之后啊
[040:36] 我们又可以回到
[040:38] 我们的一个热门座词里面
[040:40] 来去看一下
[040:41] 比如说在这里面呢
[040:43] 我们用到这个类目的
[040:45] 搜索上最大的一个词
[040:46] 比如说
[040:47] 是这个Mansuit
[040:49] 我再来给大家
[040:49] 切一下这个屏幕
[040:50] 我们切换到
[040:51] 我们的一个
[040:52] 这个讲课评
[040:53] 是用的这个演示店铺
[040:55] 里面我们来看一下
[040:56] 在热门座词里面的话
[040:58] 我们点击一下这个Mansuit
[040:59] 来进行一个搜索
[041:00] 那么在这个里面
[041:01] 其实也是建议大家
[041:02] 初期你在去做广告投放的时候
[041:04] 一个是围绕着
[041:05] 刚才给大家介绍
[041:06] 商机探测器里面去看
[041:08] 另外一个呢
[041:08] 就是在热门座词里面
[041:10] 我们是能够看到
[041:12] 每一个词条后的
[041:13] 都有对应的一个搜索
[041:14] 频率排名
[041:15] 那搜索频率排名
[041:16] 这里的值越小呢
[041:17] 也是代表这个词
[041:18] 搜索量也会越大
[041:19] 那么我们来看一下
[041:20] 你像这种服饰品
[041:22] 这种的话比较常见
[041:23] 当搜索完一个
[041:24] 这种比较核心的一个关键词之后
[041:27] 我们会发现
[041:27] 要把信用到
[041:28] 在热门座词里面
[041:29] 会给到我们卖家
[041:30] 以他为中心的好
[041:31] 很多这种拓展词
[041:33] 那么这种拓展词的话
[041:34] 我们观察一下
[041:34] 他这块的搜索频率排名的一个趋势的变动
[041:38] 我们会发现
[041:38] 每个层级
[041:40] 好像都有比较多的
[041:42] 这种模样词
[041:43] 你比如说
[041:43] 这块十万名以内的
[041:45] 还有呢
[041:45] 十万到十一万的
[041:47] 十一万
[041:47] 十二万
[041:48] 十三万
[041:48] 就是他这个下降坡度的话呢
[041:50] 会比较缓一些
[041:51] 那如果在这个里面的话呢
[041:53] 我们确定下来
[041:54] 有些属性词
[041:56] 跟我们的产品
[041:57] 其实相关性非常高
[041:59] 那么我们其实就可以
[042:00] 从这个里面
[042:01] 第一个选词
[042:02] 第二个呢
[042:03] 我们再去布局广告架构里
[042:05] 建议大家
[042:06] 根据这种词的一个搜索频率排名
[042:09] 就是他的一个流量层级呢
[042:10] 来去做一下划分
[042:11] 比如说我现在的话
[042:13] 再去投放了一些具体的词
[042:15] 比如说我投放了一个颜色词
[042:17] 他的AP排名是九万三
[042:19] 那么下方的话呢
[042:20] 我可能又找到了一些属性词
[042:22] 比如说他可能会出现
[042:23] 往后呢
[042:24] 我们可以去滑动一下
[042:25] 来看一下
[042:26] 比如说多少P
[042:27] 如果是两P子装
[042:28] 我的也是双份装
[042:29] 那么如果这两种属性的话
[042:31] 我都想考虑要去抓住这个流量路口
[042:35] 但是我们观察一下
[042:36] 刚才一个词是九万多
[042:38] 这个词的话是三四万
[042:40] 那么我们呢
[042:41] 还建议大家
[042:41] 不要放到一个广告活动里面
[042:43] 去做投放
[042:43] 就是确保一下
[042:45] 每个流量层级的词的话
[042:46] 都能够吃到相对领的预算
[042:49] 也就回到我们刚才
[042:50] 我们在PT里面所提到的
[042:52] 这分别给到的
[042:54] 商品发展词里面的50%预算
[042:56] 我们不是说是主要花在
[042:57] 其中某些几个词上面
[042:59] 因为这种非标品的时候
[043:01] 因为它的词非常多
[043:02] 我们只有把流量路口
[043:03] 抓取的更多的时候
[043:05] 才能够让我们的定单变得稳定
[043:07] 你如果抓几个
[043:08] 抓几个具体的某一个词
[043:10] 打到那个精神匹配
[043:11] 这种的话
[043:12] 其实我们也会发现
[043:14] 平台已经告给我们
[043:15] 卖家具体的数据了
[043:16] 就是呢
[043:17] 在我刚才给大家看到的
[043:18] 让我们搜索词里面
[043:19] 我们去观察一下
[043:21] 在这里面
[043:21] 获得点击资额比较多的
[043:24] 第一个Ason
[043:24] 第二个Ason
[043:25] 和第三个Ason
[043:26] 在对应的词条里面
[043:27] 我们可以看到
[043:28] 可以说这些Ason的话呢
[043:30] 在这个词条上面
[043:31] 点击分额获得的比较多
[043:34] 已经是比较厉害的卖家
[043:35] 但是我们观察观察
[043:36] 他们的一个转化分额
[043:37] 在某一个具体的词上面的话
[043:39] 也无法做到非常高
[043:40] 所以推进种类型产品的时候
[043:42] 我们一定要把什么的
[043:43] 流量路口给他
[043:45] 就是我们的流量的一个
[043:46] 出手要把它做到更加多元化
[043:48] 把它抓取的更加丰富一些
[043:50] 并且去保每个属性层级上的词的话
[043:53] 都能够吃到我们卖家所设置这个预算
[043:56] 那么这样的话呢
[043:57] 其实你的一个流量路口越多元
[044:00] 再结合着刚才我们跟大家说到的第二个点
[044:03] 数据跑出来之后呢
[044:04] 结合不同属性
[044:05] 我们去以广告的实际数据去做分析
[044:08] 以每种属性单独呢
[044:10] 在你的广告报告里面去筛选一下
[044:12] 看一下所有加在一起
[044:15] 比如说包含两 piece的
[044:16] 或者说包含black这种属性的
[044:19] 我们分别去做一个曝光点击定单的箱家
[044:22] 来去看一下这个属性
[044:24] 对比其他这些属性
[044:25] 还是否是现阶段我们能够拿到很有效结果的一种属性
[044:29] 如果确实是是的话
[044:30] 那我们后续呢
[044:31] 其实继续在这种属性词上面的话呢
