[000:00] 然后我们现在目前我看大家都已经陆陆续续上线了
[036:36] 这个产品
[036:38] 带到哪些风格和场景上去
[036:40] Fresh呢
[036:41] 就负责承接
[036:42] 已经验证过的高效的方向
[036:44] Exact的精准呢
[036:46] 就负责首核心的一些成交词
[036:48] 就在一个广告里面
[036:50] 开各种组
[036:51] 像Product Targeting呢
[036:54] 就商品投放
[036:54] 就负责去吃精品业的流量
[036:57] 对于整整体的投放呢
[036:59] 也有了那种收缩流量
[037:01] 收缩节奏的意识
[037:03] 当然在推广的过程中
[037:05] 它不是一条一直
[037:06] 就是稳定的直线
[037:08] 其实中间
[037:09] 它肯定是有一个流量的波动
[037:12] 因为修正广告的过程方向
[037:15] 本来就不是一改
[037:16] 系统就立刻懂了
[037:17] 它是需要时间去确认的
[037:19] 就这个系统
[037:21] 它更像是
[037:21] 先把之前偏调的流量
[037:23] 慢慢收回
[037:24] 然后再把新的风格
[037:25] 场景和人群
[037:27] 这种证据
[037:28] 重新的写进去
[037:29] 那等系统重新
[037:31] 对我们这个产品
[037:32] 有了正确的理解后
[037:34] 后面的订单
[037:35] 再慢慢起来
[037:36] 虽然说曝光和流量
[037:37] 会少一些
[037:38] 但是流量的质量
[037:39] 会更好了
[037:40] 它的这种订单
[037:41] 也能达到我们的一个需求
[037:43] 这样的效果
[037:44] 其实是更好的
[037:45] 然后这个思路呢
[037:47] 其实是和我们
[037:48] 就是林校长
[037:50] 他讲的那个标签理论
[037:51] 然后后面升级成标签系统工程
[037:53] 是很一致的
[037:55] 不是说我想要
[037:56] 先要
[037:57] 要什么流量去全
[037:59] 全去铺开
[037:59] 去筛选
[038:00] 而是先把我是谁的这个概念
[038:03] 给讲清楚
[038:04] 然后呢
[038:05] 再用系统通过行为
[038:06] 慢慢的去确认
[038:07] 你是谁
[038:08] 再去尽量的拿到更准确的一些流量
[038:11] 好
[038:12] 我这个案例呢
[038:14] 就讲到这里
[038:15] 那就继续讲我们这个
[038:17] 打号广告的一个前提
[038:19] 因为投放广告
[038:20] 它也是个系统工程
[038:22] 想要投放好的话
[038:23] 肯定是要有前提条件的
[038:25] 首先我们来看
[038:26] 想要打号广告的第一个前提是
[038:28] 是判断ISEN
[038:30] 除以哪个周期
[038:31] 那如何来判断呢
[038:34] 在我们MOSIS呢
[038:36] 认为产品的生命周期
[038:37] 在理想的状态下是这样的
[038:39] 在新品期的时候
[038:41] 要先把身份标签写进去
[038:43] 把明显不合适的流量给否掉
[038:45] 让系统尽可能的
[038:47] 先准确的识别
[038:48] 你是谁
[038:49] 那在生长期的时候
[038:51] 就把已经跑出来的
[038:53] 这种主流量池子给它放大
[038:55] 不合适呢
[038:56] 就继续否
[038:57] 到了成熟期
[038:59] 就把这个主流量池给它守住
[039:01] 以防别人去来蹭我们的流量
[039:05] 然后再想办法
[039:06] 让下一波的新品给接上
[039:08] 然后注意到
[039:09] 就是这里面呢
[039:11] 有一个特别要提醒的地方
[039:12] 就是我们MOSIS讲
[039:14] 新品期
[039:15] 生长期
[039:16] 成熟期
[039:17] 其实不是只按
[039:19] 它上架了多少天来固定划分的
[039:21] 我们更在意呢
[039:23] 是两件事情是不是同时成立
[039:26] 一个呢
[039:27] 就是像前面
[039:28] 陈洋老师讲过的那个
[039:29] 具体的时间线参考
[039:31] 就是零到三个月是新品期啊
[039:34] 这是一条明线
[039:35] 是很好理解的
[039:36] 那另一个呢
[039:37] 就是标签语意的时期
[039:39] 就是这个系统到底是怎么认你的
[039:41] 还是根据产品的实际情况来看
[039:44] 也就是说
[039:45] 你现在是在标签建立期啊
[039:48] 还是在标签强化期
[039:50] 它就大致的可以对应新品期
[039:53] 成长期
[039:54] 还是说已经是成熟期
[039:56] 可以对应
[039:57] 就是标签已经建立好了
[040:01] 又或者是它是非常混乱的
[040:04] 那个标签飘移期
[040:06] 我们叫它标签飘移期
[040:08] 所以说有的产品
[040:09] 上架的时间虽然不长
[040:12] 但很快就能跑出比较清晰的主场景
[040:15] 就是出单效果也比较好
[040:18] 那场景人群
[040:19] 关键词也都比较明确
[040:21] 这种产品虽然说
[040:23] 日历上它还没有说在
[040:25] 在三个月之内
[040:27] 可能就是刚上架一周
[040:30] 一个多星期
[040:31] 一两个星期
[040:33] 它就很快能够跑起来
[040:35] 但是从虽然说日历上面
[040:37] 还比较年轻
[040:38] 但是系统的认知上面呢
[040:40] 它可能已经是往生长期来走了
[040:42] 所以对于产品的生命周期的理解
[040:47] 我们呢是可以不只是按
[040:51] 那个日历上面去分阶段
[040:53] 还要去从系统的角度
[040:55] 去考虑系统的一个认知
[040:57] 这可以当做是一条暗线
[040:59] 但是呢不能忽略
[041:00] 所以说同时理解
[041:02] 这两个维度呢
[041:03] 对于季节性产品是非常重要的
[041:05] 因为季节性产品
[041:07] 它就是第一个旺季
[041:09] 钱必须要先准备好
[041:11] 因为根本没有太多优化的时间
[041:13] 然后到了第一个旺季窗口
[041:16] 在集中的爆发
[041:17] 在旺季过去之后
[041:20] 它会进入一定时间的低谷
[041:22] 再等下一轮的季节起来
[041:24] 所以说对于季节性产品的生命周期呢
[041:27] 我们可以这样理解
[041:29] 就先再来说一下
[041:32] 它的新品期大概是什么样的
[041:35] 它不是单纯的就算加前三个月
[041:37] 而是说第一个旺季前
[041:40] 也就是说这个期间
[041:42] 它是属于第一个旺季到来之前的这个阶段
[041:46] 它的就是listing
[041:48] 不论是listing还是我们的广告投放
[041:51] 核心任务不是要去放量
[041:53] 而是要把这个产品的主身份给讲清楚
[041:56] 把风格和适合的风格和场景词跑出来
[042:00] 把优质的那个素材给准备好
[042:03] 让系统和用户先看懂我们是谁
[042:06] 然后就从Monsis的标签语义上来看
[042:10] 这个阶段就是在标签的建立期
[042:13] 那第二个成长期呢
[042:15] 就是在第一个旺季窗口
[042:18] 它就不单纯是上架后
[042:20] 第四到六个月这么一个固定的时间
[042:23] 就是在第一个季节高峰真正来了之后
[042:27] 你的这些词其实已经初步的跑顺了
[042:30] 然后它才能够给你放大
[042:32] 这时候才进入比较健康的一个成长期
[042:36] 那这个阶段的核心
[042:37] 就不是再去尝试
[042:40] 而是去承接这个旺季的流量
[042:44] 把它已经验证过的方向
[042:46] 给它放大
[042:47] 让正确的人群呢
[042:48] 能够集中成交
[042:50] 所以从标签语义上来看
[042:52] 它就对应标签的强化期
[042:54] 第三个呢成熟期
[042:56] 所以它就适合
[042:58] 更理解成第二个旺季之后
[043:01] 即以后了
[043:02] 所以季节性产品
[043:05] 它真正的成熟
[043:06] 不是说看卖了多久
[043:08] 这条listing活了多久
[043:09] 而是看你有没有经历过第一轮的旺季
[043:12] 并且把第一轮旺季里面
[043:15] 跑出来的那些评价呀
[043:17] 排名
[043:17] 高掌化词
[043:19] 一些有效的素材
[043:21] 给它沉淀下来
[043:22] 然后在下一轮季节里
[043:24] 做好复用
[043:25] 做好复制的一些准备
[043:26] 所以这个阶段的重点呢
[043:29] 就是去放大前面
[043:30] 沉淀所有的东西
[043:32] 去吃透
[043:33] 第二轮以及
[043:34] 有第三轮第四轮当然更好
[043:36] 然后同时做好库存和预算的收尾工作
[043:39] 所以说清楚这一点呢
[043:42] 我们后面就不多说了
[043:44] 就是这个是直击的分
[043:46] 大概就是对于
[043:47] 季节性产品来说
[043:48] 就是这样理解的
[043:49] 那在这个基础上呢
[043:51] 我们再继续往下看
[043:52] 答案
[043:54] 这个基础往下看
[043:56] 答案广告的第二个前提是什么
[043:57] 它就是帮助系统
[043:59] 认识你的这个产品
[044:01] 也就是你的这个Asc
[044:03] 其实也是我们Moses
[044:05] 标签系统工程里面
[044:06] 最核心的一个点
[044:07] 就怎么让系统去认识你呢
[044:10] 所以我们需要先有一个明确的主身份
[044:13] 这个主身份也就是
[044:15] 真实定位和成功变量
[044:17] 以及流量池
[044:19] 共同收敛的结果
[044:20] 那第一个点就是
[044:23] 什么是真实定位
[044:24] 它其实就是基于
[044:26] 产品的一个物理属性
[044:27] 产品客观上是什么
[044:29] 尤其是服装类的产品呢
[044:32] 它是非常害怕身份模糊的
[044:34] 就像同样一条裙子
[044:36] 不能今天我们想打那种
[044:38] 约会的词和场景
[044:39] 明天呢
[044:40] 又想去打度假的
[044:42] 后天又去打婚礼嘉宾的
[044:44] 就是它对应的人群
[044:45] 是不一样的
[044:46] 如果说我们自己没有想清楚
[044:48] 那系统是更不可能
[044:50] 帮我们想清楚
[044:51] 只会越是越乱
[044:52] 就是越是越错
[044:54] 如果说身份一模糊
[044:57] 什么都会跑乱了
[044:58] 就可能想要的越多
[045:00] 最后就什么都没有了
[045:01] 第二个点呢
[045:02] 就是什么是成功变量呢
[045:04] 它就是说
[045:06] 你的客户群
[045:07] 为什么去买这个产品
[045:09] 我们以前说是卖点
[045:10] 很多卖家可能会把卖点
[045:12] 写了特别多
[045:13] 把那个卖点
[045:15] 五号卖点呀
[045:16] 描述里面写的很满
[045:18] 但是呢
[045:19] 我们MOS的逻辑
[045:20] 其实不是说卖点越多越好
[045:23] 因为现在
[045:24] 就是现在来看
[045:26] 卖点越多
[045:27] 系统它就越不知道
[045:28] 去抓哪一个去推
[045:30] 更建议的做法
[045:31] 就是在前期
[045:32] 把这些东西给压缩
[045:34] 先挑重要的两三个
[045:35] 我们集中放大
[045:37] 你到底想要
[045:38] 想让这个系统
[045:39] 记住什么
[045:40] 想让买家第一眼感受什么
[045:42] 因为现在对于
[045:44] 琳琳满目的商品
[045:45] 实在是太多了
[045:46] 必须要有一个
[045:47] 第一眼
[045:48] 就是能够抓到它的点
[045:51] 其实
[045:51] 然后再慢慢的去培养
[045:54] 它的对你的认知
[045:55] 其实我们之前
[045:56] 也做过很多尝试
[045:57] 就是把一个同样
[045:59] 一模一样的一个产品
[046:00] 做成两种
[046:02] 不同场景的
[046:04] 然后不一样的
[046:05] 那种不同的listing
[046:07] 就让系统觉得
[046:08] 我们是两个产品
[046:09] 它的流量和转化率
[046:11] 都有很大的区别
[046:12] 大家也可以去尝试一下
[046:14] 好
[046:15] 第三个点
[046:15] 什么是流量池
[046:17] 就是你得先知道
[046:19] 哪一粒流量
[046:20] 是最符合你
[046:21] 现在这个产品的定位
[046:22] 和成功变量的
[046:23] 不是先问
[046:24] 我能投什么词
[046:25] 净品投哪些词号
[046:27] 而是先问
[046:28] 什么词
[046:29] 什么场景
[046:30] 是更适合你的
[046:31] 这个产品
[046:32] 这些呢
[046:33] 都是在投放广告前
[046:35] 一定要先确认好的
[046:36] 好
[046:37] 那明确了
[046:38] 这种真实定位
[046:40] 成功变量和流量池
[046:42] 产品的主身份
[046:44] 其实也就自然而然的出来了
[046:46] 那可能就有卖家
[046:48] 有疑问了
[046:49] 做这些工作
[046:50] 会不会需要
[046:51] 有大量的内容整理啊
[046:52] 它确实是需要
[046:53] 很多整理的
[046:55] 但是我们现在
[046:56] 接触AR
[046:56] 其实很方便整理
[046:58] 然后有AR结果
[047:00] 你再去认真的
[047:01] 校对看看
[047:02] 取其精华
[047:02] 其实是很好用的
[047:04] 然后比如我们Moses呢
[047:06] 现在就使用那个大模型
[047:09] 调校出了这种
[047:10] 回答专业问题的
[047:11] AROS系统
[047:13] 它跟外面那个
[047:14] 通用AR最大的区别
[047:16] 就是在通用大模型
[047:18] 能力的基础上
[047:19] 又加入了我们Moses
[047:21] 多年沉淀下来的
[047:22] 实战经验
[047:23] 枕端复盘
[047:24] 陪跑的案例
[047:25] 还有大量真实的业务场景
[047:27] 就是那些外部的公开
[047:29] 那些外部的AR
[047:31] 它是抓取不到的内容
[047:33] 然后我们这
[047:34] 就是还挺好用的
[047:36] 我们很多学员都在用
[047:37] 然后这里
[047:38] 我想简单的展示一下
[047:39] 也可以给大家一个参考
[047:41] 就是如果想要
[047:42] 做这种系统的话
[047:43] 以及想怎么
[047:47] 这种使用的思路
[047:49] 好我来共享一下
[047:51] 我的桌面
[047:52] 我们的这个
[048:00] 我们的这个AROS系统呢
[048:05] 是
[048:06] 比如说
[048:09] 就刚才说的这个
[048:11] 产品的真实定位
[048:13] 如果说我们通常
[048:15] 以前如果是要自己去抓数据呀
[048:18] 可能都要
[048:19] 至少要花费个
[048:21] 就是我们以前在做产品的
[048:23] 市场店员的时候
[048:24] 会去抓很多的
[048:26] 精品的数据
[048:27] 可能一个产品
[048:28] 就是一波产品
[048:30] 可能要搞个一个星期
[048:31] 两个星期
[048:32] 才能出来一份
[048:33] 非常完善的数据报告
[048:34] 那现在可能通过
[048:36] 就是通过这个AR来做的话
[048:39] 就非常非常快
[048:40] 然后来展示一下
[048:42] 我们的这个
[048:43] 就是我们的这个呢
[048:47] 它就是把这个产品的
[048:49] 基本的参数
[048:50] 也就是产品的物理属性
[048:52] 给它加上去
[048:53] 就是图片
[048:54] 多角度的
[048:55] 如果说有视频的话
[048:56] 也可以放上去
[048:58] 因为有些产品
[048:59] 它可能图片
[049:00] 展示的不够清楚
[049:02] 但虽然说这个AR很智能
[049:05] 它但是某一些
[049:06] 非常特殊的
[049:07] 有视频的话
[049:08] 更好
[049:09] 如果没有的话
[049:09] 也是可以
[049:10] 然后产品描述
[049:11] 可以加一句话描述
[049:13] 像尺寸
[049:14] 就是具体的
[049:15] 就是你能够得到的
[049:17] 得到的它的一些
[049:19] 真实的准确的数据
[049:20] 都给它加上去
[049:21] 然后
[049:23] 就像这样
[049:26] 把这些数据
[049:27] 都给它
[049:29] 放上去
[049:30] 然后
[049:32] 这里再
[049:34] 再放上这个描述
[049:36] 这里呢
[049:37] 我就不重新跑了
[049:39] 因为我之前跑过
[049:40] 这里是很费
[049:41] 有点
[049:42] 它它
[049:43] 再跑一遍的话
[049:44] 比较浪费
[049:44] 这个Token
[049:45] 这个也是要钱的
[049:47] 所以我就
[049:47] 来看一下
[049:49] 我昨天
[049:49] 这间跑过的一个
[049:51] 结果是什么样的
[049:53] 就行了
[049:53] 你看
[049:55] 这个上传完之后
[049:57] 它就会快速的出来
[049:58] 大概会跑
[049:59] 跑个
[050:00] 这个是跑了两分钟
[050:02] 出来一个产品的
[050:04] 真实定位是什么
[050:05] 然后
[050:06] 它就非常清晰的来
[050:08] 告诉你
[050:09] 这个产品的身份
[050:10] 然后
[050:11] 为什么能成为
[050:12] 这个身份
[050:13] 就可能比我们
[050:14] 想到的点
[050:15] 会更细
[050:16] 然后它还有
[050:18] 就这个比较好的点
[050:20] 是你除了说
[050:22] 它给你一个
[050:22] 非常清晰的
[050:23] 主身份外
[050:24] 还有不能做什么
[050:26] 它也给你清楚
[050:27] 如果说
[050:27] 你在投放之前
[050:29] 可以把那些
[050:30] 就是后面
[050:31] 不想要的一些流量
[050:32] 流量词
[050:34] 流量词给它否定
[050:36] 那这里也会是
[050:37] 有一个非常清晰的
[050:39] 一个表现
[050:40] 就是一个参考
[050:41] 它有
[050:43] 也有成功
[050:44] 变量是什么
[050:45] 就是这些
[050:46] 给的报告呢
[050:47] 是来告诉你
[050:48] 这个listing的
[050:49] 做listing的方向
[050:51] 做文案图片和视频
[050:52] 可以具体
[050:54] 从哪里来做
[050:55] 我这给的图片
[050:56] 虽然是
[050:57] 大像是做好的
[050:58] 其实可以给它那种
[050:59] 就是
[051:00] 只要拍清晰的图就行
[051:02] 不用这种做好的图
[051:03] 我这个只是展示一下
[051:05] 它能够给你一份
[051:07] 非常清晰的
[051:08] 这个报告
[051:08] 好
[051:10] 大概就是这个样子
[051:11] 行
[051:41] 如果说
[051:43] 如果说之前有了解过
[051:44] Mossis的李校长的标签理论
[051:46] 可能就比较好理解
[051:48] 可以看作是标签理论的升级版
[051:51] 那过去我们讲标签理论
[051:53] 更多是在解释
[051:54] Y马逊是如何给你打标签的
[051:57] 就这套逻辑呢
[051:59] 它是一直是有效的
[052:00] 但是随着这个平台算法的升级啊
[052:03] 我们大家肯定也更能感受到
[052:07] 只去理解这个标签从哪里来
[052:09] 其实已经不太够了
[052:10] 因为平台从观念词匹配的逻辑
[052:14] 升级到意图识别的逻辑
[052:17] 就是流量的分发
[052:18] 它就越来越依赖产品的身份
[052:20] 场景和行为
[052:22] 买家的行为证据
[052:24] 那如果我们
[052:25] 尤其是管理层
[052:26] 还提论在CPC怎么降低
[052:29] AQS太高了怎么办
[052:30] 那关键词怎么推的
[052:32] 这种层面上
[052:34] 操作层面上
[052:35] 后面只会越来越辛苦
[052:37] 所以接下来我也想通过
[052:39] 右面的这张图
[052:41] 就尽量的把我们Moses的
[052:43] 标签系统工程给讲清楚
[052:45] 好就一说到标签呢
[052:48] 可能有些人会反映说
[052:50] 它就是关键词
[052:51] 但是我们这里的标签不是说写了什么词
[052:55] 它就更像是系统对于你这个产品的一个综合认知的结果
[053:02] 认知的结果
[053:03] 那这套系统呢
[053:04] 我们可以拆成三层来看
[053:07] 第一层就是产品身份的三大底座
[053:10] 刚才那个说过了
[053:12] 现在再回顾一下
[053:13] 也就是系统要先知道
[053:14] 三件事你是什么产品
[053:16] 真实定位是什么
[053:18] 你更适合谁
[053:19] 它有哪些成功变量
[053:21] 你更适合在什么场景下去购买
[053:24] 也就是流量池和流量化效
[053:26] 如果说这三个底座
[053:28] 在前面的时候没有理顺
[053:31] 那后面的很多广告动作都容易崩
[053:33] 那第二层呢
[053:36] 就是四大标签来源
[053:38] 我们根据经验总结呢
[053:40] 认为系统主要是从四个入口
[053:44] 在持续的认识你
[053:45] 哪四个入口呢
[053:46] 第一个就是关键词标签
[053:49] 这个是系统理解产品语义的一个入口
[053:52] 第二个呢
[053:53] 就是类目标签
[053:54] 那也就是系统给我们做产品归类的入口
[053:57] 第三个呢
[053:58] 就是Ason标签
[053:59] 也就是系统通过竞品
[054:01] 大量的竞品来建立
[054:03] 来建立这种关联认知的入口
[054:06] 第四个也是很关键的一个买家行为
[054:09] 系统最后不是说
[054:11] 我们的listing怎么做的
[054:12] 广告怎么打的
[054:13] 还要看谁点了你
[054:15] 从哪里进来的
[054:16] 有没有加购
[054:17] 有没有下单
[054:18] 就是看的时长有多久
[054:20] 就是这个都是会考虑在内的
[054:22] 好那第三层呢
[054:25] 就是三大动态的阶段
[054:27] 去怎么理解
[054:28] 也就是说
[054:29] 我们理解的这个标签
[054:31] 它不是一旦形成了就不变了
[054:33] 也会因为市场
[054:34] 时节的变化
[054:36] 甚至是政策的影响
[054:38] 它都会经历一个动态的变化过程
[054:40] 从识别期到稳定期
[054:43] 到成熟期
[054:45] 甚至到那种
[054:47] 飘移污染期
[054:50] 它都是需要你动态的去管理的
[054:53] 所以说我们就会说广告
[054:56] 它想要做好投放这个广告
[054:59] 不能只看要做什么动作
[055:02] 因为广告在我们运营中
[055:04] 它不只是为了买流量
[055:06] 它还是在做两个关键的事情
[055:09] 第一个呢
[055:09] 就是帮助系统
[055:11] 更快的认识我们
[055:12] 更好的把我们推给合适的人群
[055:16] 第二个点呢
[055:17] 就是把已经认对的那个部分
[055:19] 给放大
[055:20] 放大这个流量范围
[055:21] 那如果说前面这个身份
[055:24] 没有给它收敛清楚
[055:25] 广告就越投
[055:26] 系统收到的错误行为证据越多
[055:29] 后面就越容易乱了
[055:31] 但是如果说前面身份已经站稳了
[055:34] 那广告的投放
[055:35] 就会变成一个非常好的放大器
[055:37] OK
[055:40] 好的
[055:45] 非常感谢二秒老师刚才的分享
[055:47] 然后在整个分享的过程当中的话
[055:49] 也有麦朋友们在聊天框提问
[055:51] 我们先来简单看一下大家的提问
[055:53] 第一个是有妹啊朋友问说
[055:56] 忘记前几周预算烧的太快
[055:58] 但是转化第一是该降进价还是降预算
[056:01] 从我的角度来看您的这个问题
[056:04] 我不知道您现在还在不在直播间
[056:05] 那我先简单说一下
[056:06] 就是你在忘记前几周你的预算烧太快
[056:09] 首先第一个你要先看一下你自己所你的
[056:11] 你的预算是设置的是多还是少
[056:14] 那这个部分的话
[056:15] 如果说比如说你每天只给10预算
[056:16] 你说它烧的太快
[056:17] 那我觉得这个可能就不太合理
[056:19] 所以首先第一个你得先确认清楚
[056:21] 你的预算是不是放到了一个合适的一个位置
[056:23] 那这是第一个点
[056:24] 第二个点的话就是你投放出去的时候转化低
[056:27] 那有两种可能性
[056:28] 第一个就是你现在投放出去的流量
[056:32] 是不是足够精准的
[056:33] 那这里的时候你可能去反查一下
[056:36] 你自己现在投放的这些词是什么样的一个词
[056:38] 那如果词本身就是你的核心词
[056:40] 但是它依然是稍太快转化低的话
[056:42] 还有个很大的可能性是在于说
[056:44] 这个时候其实你是在为你的前期的这个
[056:47] 你的产品是在前期去做蓄水的
[056:50] 那真正它的转化的一个
[056:52] 真正我们要去看转化的话
[056:53] 其实是要看的是你在前期蓄水了之后
[056:55] 第一个你的这个关键词
[056:57] 有没有它的自然排名有没有出来
[056:59] 包括它的自然排名有没有往上走
[057:01] 那我觉得这个是一个很关键的动作
[057:03] 因为当你在前面去做一些
[057:04] 可能当下看起来是一个
[057:06] 是一个转化低的一个做法
[057:10] 但是的话也不可能你会认为是个亏损的做法
[057:12] 但其实它是会在后续真正忘记来临的时候
[057:15] 因为你在前面已经把这个词推上去的情况下
[057:18] 那么在后续真正忘记来临
[057:19] 那么流量进行大量的灌入之后的话
[057:22] 那这样的一个自然排名和这样的一个
[057:24] 前期的蓄水工作的话
[057:25] 是会给你带来组非常大的一个转化的
[057:27] 所以说我们其实如果说今天你要问我
[057:30] 说你的这个问题该降进价还是降预算
[057:32] 那我首先第一个我先先要请您
[057:35] 就要去看看说你的预算
[057:36] 是不是设置的是一个合理的范围
[057:38] 那第二个如果预算稍得太快了
[057:40] 但转化低的话
[057:41] 我们分两种情况
[057:42] 第一种就是去看一下你的流量是否是精准的
[057:45] 如果在这个过程当中流量确实是不精准的情况下的话
[057:47] 那你是你不是要去调进价和预算
[057:49] 而应该是去把你的流量去做一个
[057:51] 我觉得是做一个就是适当的一个缩解
[057:55] 或者是叫做更精确一些
[057:57] 那第二个的话就是要去看看说
[057:58] 你在整个过程当中
[058:00] 你通过了这样一个广告投放
[058:01] 是否为你的产品
[058:02] 不管是自然排名也好
[058:04] 还是你的这样一个客户的群体也好
[058:06] 你都可以去看看说
[058:07] 它是不是一个为你的接下来的旺季
[058:10] 实际到来的时候的话
[058:11] 它是不是能起到一个提前蓄水的作用
[058:13] 那如果有的话
[058:15] 虽然短时间内
[058:16] 它可能是属于
[058:17] 属于属于亏损的
[058:19] 但是这种亏损的话
[058:20] 它其实最后会带来的是一个盈利性的广告投放
[058:22] 所以这个的话
[058:23] 我觉得可能你要看清楚
[058:24] 它到底是属于投资型的
[058:26] 它到底是属于投资型的广告
[058:28] 那还是说叫做
[058:29] 这个广告本身
[058:30] 它确实就是属于一个亏损广告
[058:32] 那这是分两种情况来看
[058:35] 对所以这是第一个问题
[058:36] 然后第二个问题的话
[058:37] 我看了视频号这边也有买家在问
[058:39] 我先说一下
[058:40] 我出言
[058:40] 好的好的
[058:42] 刚才这个问题就是
[058:43] 它还要有一个点很关键
[058:46] 就是它要看搜索报告里面哪些词
[058:49] 就是具体哪些出单词
[058:51] 就花了这个预算
[058:54] 对的对的
[058:55] 是的
[058:55] 这就是我说的流量点
[058:57] 去看看是否是精准的
[058:58] 那如果确实有不精准的情况下的话
[059:00] 是需要去做一定程度的否辞
[059:02] 对吧
[059:03] 阿淼老师
[059:03] 对对
[059:05] 然后第二个麦迦呢
[059:07] 有问到说小品牌
[059:08] 建议做品牌词吗
[059:10] 这个的话
[059:10] 我想听听阿淼老师的一些想法
[059:12] 就是
[059:15] 只要你有这种走品牌方向的打算
[059:19] 就是最好越早
[059:21] 做的越早越好
[059:22] 因为因为前期进价是非常低的
[059:24] 如果你做的后面真的起来了
[059:26] 你的进价
[059:27] 是别人已经先把你投起来了
[059:29] 就是进价会往上提的
[059:31] 对是的
[059:33] 我也是这么来看
[059:34] 首先第一个就是咱们
[059:36] 我们不能说
[059:36] 就是您这个小品牌
[059:38] 是你自己的一个定义
[059:39] 但是我觉得品牌不惯大小
[059:41] 首先第一个
[059:42] 就如果说你的品牌词
[059:43] 确实是出现在了搜索报告当中
[059:45] 那就说明了
[059:47] 并且它是处于一个稳定出现的
[059:49] 一个它不是说偶发性的
[059:50] 就你你可以持续观察一下
[059:52] 你的整个的一个关键词的报告
[059:54] 那如果你的关键词报告当中
[059:55] 会出现品牌词的这种情况下
[059:58] 就说明你在这个市场上
[059:59] 其实是已经有了一定的这种品牌认知基础
[060:02] 那在这个时候你要去做品牌词
[060:04] 我认为是非常必要的
[060:05] 因为在这个时候你做品牌词
[060:07] 首先第一个就刚刚阿淼老师讲到的
[060:09] 你的这个竞价是相对比较低的
[060:12] 那其次
[060:12] 你可以用品牌词加上你的核心的
[060:15] 这个核心词来去做一个搭配来去投放
[060:18] 那其实你其实你是在做什么
[060:20] 我觉得你是在做的是你的一些
[060:22] 最精准的流量的一个守住他
[060:25] 而不是让他给丢掉和失去和浪费
[060:28] 所以在这个如果说你是这种情况的话
[060:31] 我会非常建议你要就是你可能还是得需要
[060:33] 尽可能的前置你的品牌词的
[060:36] 也不管是买词也好
[060:37] 或者是去做投放也好
[060:38] 我觉得都是需要非常非常必要和和和和
[060:41] 那个需要的啊
[060:42] 尤其是你的尤其是你还看到你的报告当中
[060:45] 已经出现了品牌词的情况下
[060:47] 那我觉得你这个时候确实是
[060:48] 已经到了一个必须要去做这个品牌词的
[060:52] 一个投放的一个阶段了
[060:54] 好的行
[060:57] 那我们刚才的话通过阿缅老师的分享的话
[061:00] 其实我们对于整个在广告投放前要做的
[061:03] 两件核心的动作的话
[061:04] 大家应该有很清晰的认知了
[061:06] 第一个就是我们得需要先去确定清楚
[061:09] 自己的Ace 呢
[061:10] 到底是属于哪个周期
[061:12] 也就我们刚刚最开始讲到的新品期成长期还是成熟期
[061:15] 那对于新品期成长期成熟期而言
[061:18] 尤其是季节性的产品
[061:19] 我也带大家去做一下回顾啊
[061:21] 尤其是季节性的产品
[061:23] 我们可能不能简单的以上限的时间来去判定它
[061:26] 我们其实要第二个
[061:28] 我们要去结合自己的这个标签
[061:29] 是否是一个清晰的状态
[061:31] 那么通过这两个维度来去判断说
[061:33] 我的产品它到底应该是属于哪个周期
[061:36] 那又由于季节性它的这种产品
[061:39] 本身它是具有一个特殊性
[061:41] 什么特殊性呢
[061:42] 它有明显的高峰和低谷
[061:44] 那因此的话
[061:45] 我们对季节性的产品而言的话
[061:46] 我们想要去界定它的一个新品期成长期成熟期
[061:49] 更多的是由于它三个高峰所带来的
[061:52] 那我们会认为是在这三个高峰的前后
[061:55] 那么是视为它的一个整体的一个
[061:57] 就是标准的一个新品期成长期和成熟期的一个界定啊
[062:00] 所以说这个是第一个
[062:02] 就是我们得先知道和清楚的认识
[062:04] 我的AZEN
[062:05] 它到底在这类型的产品以下
[062:08] 它到底是属于哪个周期
[062:09] 因为不同的周期
[062:10] 它的广告投放和打法是完全不一样的
[062:12] 这个我们会待会来去跟大家去做一个展开和讲解
[062:15] 那么第二个我们要去做的一个很重要的事情呢
[062:18] 就是为自己的产品呢
[062:20] 去做好系统的识别
[062:22] 那做好系统的识别就有一个很重要的点
[062:24] 就在于说这个对于自己身份标签的一个打标
[062:28] 那这个打标的话
[062:29] 我们刚才也通过老师的分享的知道啊
[062:31] 我们可以通过哪些维度来去进行这样一个
[062:34] 整个身份系统的一个识别和认知
[062:36] 所以这个部分的话是我们刚才讲到的
[062:38] 对于打广告前要做好的两个非常重要的前提准备
[062:43] 那么在这样一个前提准备做好了之后呢
[062:46] 我们就一起来去结合亚马逊官方的数据和真实的案例
[062:50] 来看看两类型的产品同样都是属于季节性的
[062:54] 那么这两类的产品
[062:55] 它到底应该在每个生命周期阶段
[062:58] 制定什么样的一个广告的策略
[063:01] 来帮助我们去抓住旺季去提高转化
[063:04] 好
[063:05] 那我们就从第一个产品
[063:07] 季节性的产品先出发
[063:08] 因为这类型的产品是非常有极具代表性的一类型的产品
