[000:00] 好 我看现在逐步有卖家朋友们已经进入到直播间了
[000:20] 那首先第一个也是非常感谢大家在今天下午的时间能够抽出两个小时
[038:35] 新体期成长期和成熟期
[038:38] 头部AZEN对于尾部AZEN
[038:40] 它的一个广告表现的一个差异
[038:43] 那大家先看一下这种数据
[038:45] 也很期待大家对于这种数据看了之后的第一反应是什么
[038:49] 可以把你们的观点和想法打在聊天框
[038:53] 那当然如果大家在听的过程当中有任何问题的话
[038:56] 也可以随时打在聊天框上
[038:58] 我和大鹏老师都会基于课程讲解的一个进度呢
[039:01] 停下来给大家去做一个答复
[039:03] 好
[039:04] 那相信大家通过刚才的一个时间
[039:07] 应该对这种数据有一个大概的认识了
[039:09] 我们就进一步的细细的来看一下这种数据
[039:12] 这种数据其实我们会发现
[039:14] 在这里可以看到在SUT的这个类目
[039:18] 长决策高科单价的产品上
[039:21] 这样的一个差距呢
[039:22] 它不是一开始就拉大的
[039:24] 它是随着生命周期的推进而足部放大的
[039:28] 因为我们可以看一下这里
[039:30] 第一个在新体期头部AZEN的话
[039:33] 它的整个曝光和点击其实并没有高
[039:36] 尾部AZEN有高太多
[039:38] 反而我们可以看一下
[039:40] 它其实在CVR跟我们的ROAS上
[039:43] 也就是转化率和ROAS上
[039:46] 它是相对来讲
[039:47] 比尾部的AZEN是有一个明显的差距
[039:50] 那这样一个明显的差距呢
[039:51] 其实说明了一个点啊
[039:52] 在我看来的话
[039:53] 就会发现说头部AZEN
[039:55] 它在一开始它并没有去盲目的去拼曝光
[039:58] 而是通过高转化率和高ROAS
[040:01] 来为自己的AZEN去建立一个良好的基础
[040:03] 那么再来看一下
[040:05] 到了成长期之后
[040:07] ROAS开始下降到了1.3倍
[040:09] 但是这个时候我们会发现
[040:11] 微
[040:13] 抱歉
[040:17] 但我们会发现尾部
[040:25] 但我们会发现头部AZEN它开始进行
[040:27] 品牌推广广告的一个投放
[040:31] 那这个时候SB的一个参与度的话
[040:33] 头部AZEN相对于
[040:35] 尾部AZEN来讲出现了6.8倍之多
[040:42] 那这样的一个投放的话
[040:43] 它其实会带来一个什么样的一个巨变
[040:47] 这个巨变的话是在乘数期换来了
[040:50] 在乘数期上整个曝光点击上
[040:53] 点击上是有个明显快速的提升的
[040:56] 我们可以看一下乘数期的时候
[040:58] 曝光是达到了16.8倍
[041:00] 点击量的话是达到了18.4倍
[041:03] 所以我们总结下来会发现
[041:05] 通过这样的一组数据
[041:07] 头部AZEN和尾部AZEN
[041:09] 在不同的生命周期下
[041:11] 它的广告的对比
[041:13] 我们会发现头部AZEN它采用的是一种
[041:15] 稳扎稳打
[041:17] 逐步拉开差距的广告打法
[041:19] 那么这个广告打法落实到具体该怎么去搭建广告架构
[041:24] 那么我们来听听大鹏老师他的一个实战的经验
[041:29] 好的
[041:30] 那其实从这个数据里面的话
[041:33] 我们其实不难发现
[041:34] 头部的话
[041:35] 他们是刚开始在一个初期去做投放的时候
[041:39] 其实主要的话
[041:41] 它是要做到一个更高的一个点击率和转化率
[041:45] 那么在它成长期阶段里面的话
[041:48] 它是借助一个品牌的这种推广的话
[041:52] 做的一个放量
[041:53] 那么在成熟期里面的话
[041:55] 虽然有所收量
[041:56] 但是它已经积累了比较多的一个品牌
[041:59] 收入的一些粉丝顾客人群
[042:01] 所以他们在后期阶段的话
[042:03] 里头能够看到它这个整个的话
[042:05] 虽然RES指标略微有些下降
[042:07] 但是整个的话曝光的话已经抓的是足够多了
[042:10] 这个曝光出手
[042:12] 它的一个出点的话抓的是非常多的
[042:14] 那么下面我们来把这块的话详细拆解一下
[042:17] 让大家来做个分析
[042:19] 首先是新品期
[042:21] 那么新品期呢
[042:22] 这里面我们呢
[042:23] 建议大家是不要盲目去拼曝光
[042:26] 而是通过呢
[042:28] 更高的一个转化率
[042:30] 以及Juice指标的话
[042:31] 建立一个良好的基础
[042:33] 因为在这个阶段里面
[042:35] 
[042:35] 用到的是商品广告
[042:38] 居多
[042:39] 之后呢
[042:40] 跟我们的链接
[042:41] 因为我们的链接新上架的时候
[042:43] 是没有太多的一个画像和一个属性收入的
[042:46] 虽然的话
[042:47] 我们可能通过我们的文案的话呢
[042:48] 写了一些我们的一些关键词
[042:51] 上传了我们一些产品
[042:53] 一些特殊的卖点呀
[042:54] 属性的系统
[042:55] 它是有初步画像收入的
[042:56] 但是呢
[042:57] 在初期没有太多流量数据的情况下
[043:00] 其实还是我们需要进入广告
[043:02] 来告给系统呢
[043:04] 比如说能够我们在哪些属性上面
[043:07] 能够拿到有效的转化
[043:09] 拿到有效的点击
[043:10] 并且呢
[043:11] 通过买回去之后
[043:12] 他是否愿意给我们比较多的好评
[043:15] 来去建立我们一个前期良好的基础
[043:18] 那么在这个阶段里面的话
[043:20] 新品期我们来看一下商品广告里面
[043:22] 我们其实可以分配给手动观训词
[043:25] 50%预算
[043:27] 那么这份预算是用来干什么的呢
[043:29] 我们可以去思考一下
[043:30] 因为这种产品它的属性可能确实比较多
[043:34] 尤其是比如说试用场景
[043:36] 很像修身啦
[043:38] 武汇啦
[043:39] 这种的属性等等
[043:40] 我们可能会在我们的一些工具呀
[043:42] 后台的笔学者们措辞里面
[043:44] 找出来非常多的属性
[043:45] 那我们前期的话呢
[043:47] 先避开跟头部卖家
[043:50] 在这种非常泛的泪目词上面
[043:53] 去做一个影碰印
[043:54] 我们先放到跟我们产品相关性属性
[043:57] 比较高的一些属性词上面
[043:59] 让流量入口给它扩开
[044:01] 那么在成长在新领域里面的话
[044:05] 我们来看一下
[044:06] 就是还可以去考虑到布局自动广告
[044:10] 那么自动广告的话
[044:11] 在这个阶段里面
[044:12] 它主要的一个目的是给我们
[044:14] 围绕我们这个链接所描述的一些产品
[044:17] 系统的自动帮助我们卖家的话
[044:20] 去做一些观点词的一些匹配一些拓展
[044:23] 那么有些的话我们可能会在初期再去
[044:26] 比如说搭建自己的词库的时候
[044:28] 包括去明确我们属性手
[044:30] 有些属性我们可能还没有找权
[044:32] 那么自动广告的话
[044:33] 这是一个非常有效的出手
[044:35] 能够帮助我们卖家的话
[044:37] 找出来我们之前没有发现的一些属性
[044:40] 那么再可以我们分配20%预算的话
[044:44] 放到商品投放里面
[044:46] 商品投放里面
[044:47] 其实我们链接的话
[044:49] 因为上架初期跟现有品类里面的一些老的链接
[044:54] 确实你的reading 数
[044:56] 这些信任背书上面的话会存在一些差距
[044:59] 所以我们在前进化初期的链接标签也不太明确
[045:03] 而且转化率也没有很高
[045:05] 所以我们就可以去做一个划分
[045:08] 比如说现在的话
[045:09] 我的链接上限之后是有出单的
[045:11] 那么我可以优先去找一下
[045:14] 看一看在这个品类里面的新品榜单
[045:16] 跟我直接对标这种产品
[045:18] 包括呢
[045:20] BESTER榜单
[045:21] 建议大家是找榜单的50名以后的
[045:23] 因为找的比较靠钱的话
[045:24] 确实就是reading 数
[045:26] 刚才是说过
[045:27] 我们可能会跟一些老的链接上面的话
[045:30] 存在比较大的一个差距
[045:32] 新人倍数的话可能会有些缺失
[045:34] 所以我们可以找榜单比较靠后的
[045:37] 又跟我们直接对标这种竞品
[045:40] 我们把我们的一个广告的话
[045:42] 投放到第一个是他的产品详情页
[045:46] 但我们在商品广告推广的时候
[045:48] 
[045:48] 他也会发现我们去定投一个
[045:51] A-SEN
[045:52] 其实顾客在前台的话呢
[045:54] 搜索跟这一个产品有关的观点词
[045:58] 看到他自然位的时候
[046:00] 也可以在搜索结果页面呢
[046:02] 把我们这种商品A-SEN定投的广告
[046:05] 给我们带出来
[046:06] 但是想想比如说举个例子
[046:08] 假如说现在顾客搜索了一个SOOT4MAN
[046:12] 或者说带了个颜色BlackSOOT4MAN
[046:14] 这个词
[046:15] 那么我们的话也是卖这种黑色的一个
[046:19] 就是西服套装
[046:21] 我们找到我们对标产品之后
[046:23] 我们其实可以去订投这个A-SEN
[046:25] 那么订投这个A-SEN之后
[046:26] 我们在广告卫里面大家也会发现
[046:28] 他是能够在广告卫里面的话
[046:30] 手业顶部和奇迹这款能够去设置这个百分比的
[046:34] 那么当我们给了一些百分比之后
[046:37] 其实我们会发现当顾客搜索这个词的时候
[046:41] 看到这一个我们定投的这个链接的自然位
[046:44] 我们的广告币会带出来在他的旁边
[046:47] 那么你想顾客的路径是搜索了这个词
[046:50] 如果看到他的自然位
[046:52] 我们的广告币也展示出来
[046:53] 但是如果他在两者之间对比里面的话
[046:55] 点了我们并且最终的话购买了我们
[046:58] 是不是我们能够变相的话
[047:00] 虽然我们是没有直接去打这个词
[047:02] 是A-SEN订投里面
[047:04] 我们是打的这个金品的A-SEN
[047:05] 但是我们是变相的话
[047:07] 让顾客搜索了这个词
[047:09] 看到金品的自然位置
[047:11] 把我们给带出来
[047:12] 这样的话也是能够增加我们的一个标签的一个收入的
[047:16] 那么当我们标签的话
[047:18] 其实收入后续完成之后
[047:20] 我们会发现经过一段时间的积累
[047:23] 我们的自然流量
[047:25] 增长的话将会比较迅速
[047:27] 所以这个点的话
[047:28] 也是我们后续的话
[047:29] 在投入动作里面
[047:31] 同时布局关键词的同时
[047:33] 还是需要同时去布局这个商品的一个投放的
[047:37] 那么再来往下来看的话
[047:39] 其实我们也会建议
[047:41] 可以分配10%的一个预算
[047:44] 放到一个品牌推广
[047:46] 但这里的话
[047:47] 对于这种高价的一个产品
[047:50] 尤其新品期
[047:52] 我们呢可以用少量一些素材前期的话
[047:55] 来去做一些测试
[047:57] 但我们主阵地的话
[047:59] 还是围绕着一个商品广告里面的话
[048:02] 各项的投入路口
[048:03] 先把它布局的比较全面
[048:05] 但在这个阶段里面的话
[048:06] 我们也会发现
[048:07] 因为我们在商品广告里头
[048:09] 投的词包括自动广告里头
[048:10] 这种类型的话广告
[048:12] 预算占比会给的商品颜出比较多
[048:14] 所以它系统的话
[048:15] 必然会跑出来一些
[048:17] 跟我们有相关性属性的词
[048:20] 也可能会跑出来一些什么的
[048:22] 跟我们没有太强相关性的属性的一些词
[048:26] 比如说举个例子
[048:27] 假如以服饰品的里面
[048:29] 有这种亚麻材质的
[048:30] 还有这种羊龙材质的
[048:31] 那么这些材质
[048:33] 可能我们就在这个手动投广里面
[048:35] 包括自动广告里面的话
[048:36] 都有可能会匹配出来
[048:37] 那么如果匹配出来之后
[048:39] 我们经过下载我们的搜索词
[048:42] 或者搜索词
[048:43] 或者搜索词产生份额报告
[048:44] 我们可以单独去按照属性来做一下划分
[048:47] 比如说我在搜索词里面的话
[048:49] 单独去搜索一下
[048:50] 比如说亚麻这个材质
[048:52] 或者羊龙这个材质
[048:53] 或者唇棉这种材质
[048:54] 我看一下
[048:55] 我把它的一个曝光点击订单
[048:58] 以及花费
[048:59] 这几项指标的话
[049:00] 我分别去详练
[049:02] 看一下所有拓展词里面
[049:04] 包含了这种属性的词
[049:06] 它一共的一个点击率
[049:09] 还有的转化率是多少
[049:11] 经过属性和属性之间去做对比
[049:13] 里面呢
[049:14] 我们其实也能够发现
[049:15] 现阶段的话
[049:16] 我们该侧重的话
[049:17] 往哪些属性上去做一个头发
[049:19] 因为相信的话
[049:21] 卖家们也会发现
[049:22] 你再去推这种服饰品的里面的话
[049:25] 尤其是比较偏向这种飞标的一些产品
[049:28] 你的广告里面的话
[049:29] 很多这种数据都是一两次点击
[049:32] 有的是出入订单
[049:33] 有的是没出进展的
[049:34] 它的一个流量会
[049:35] 它的一个流量会非常分散
[049:37] 那这种情况下的话
[049:38] 我们在搜索词里面
[049:39] 你单独去看某一个具体的词
[049:41] 其实无法去做到一个有效的分析
[049:44] 因为这是偶然数据
[049:45] 但是如果我们把像我刚才所说的
[049:48] 不同的属性之间做好归类之后
[049:50] 我们在搜索词里面
[049:51] 单独去搜索这个属性
[049:53] 看一下所有包含这个属性的
[049:55] 这么多关键词
[049:56] 累计它的一个曝光点击订单
[049:59] 还有能产生的花费
[050:01] 这样子呢
[050:02] 我们就能够很清楚的对比
[050:04] 比如说到底是哪种材质
[050:06] 哪种属性
[050:07] 到底是比如说修身啊
[050:09] 还说是这种性感呢
[050:10] 或者说是舞会晚宴等等
[050:13] 
[050:13] 我们可以去做一下对比
[050:15] 那么也能够在这个阶段里面
[050:17] 找出来我们重新广告
[050:19] 要去往哪些
[050:20] 就是属性此生
[050:22] 去做一个布局和投入
[050:24] 因为我们会发现在
[050:25] 清明期里面的话
[050:26] 我们重新的话
[050:27] 是在商品广告里面的
[050:30] 手动官司广告的
[050:31] 预算会分配的比较多
[050:32] 当然在这个点的话呢
[050:34] 我们也建议呢
[050:35] 伙伴们可以去考虑一下
[050:37] 就是前期的话
[050:39] 把你的词库这块的话
[050:40] 搭建的相对来说
[050:41] 比较完善一些
[050:42] 因为再去做
[050:44] 关键词分析里面的话呢
[050:46] 也给大家简单分享一下
[050:49] !就是平常我自己也在用的一些方法
[050:53] 我这块要共享一下屏幕
[050:54] 来给大家看一下
[050:56] 首先的话呢
[050:57] 我会去先到这个商品刊词器里面
[051:00] 先去看一下
[051:01] 商品刊词器里面呢
[051:02] 我们其实可以去
[051:03] 比如说我以这个
[051:04] 这个搜索为例
[051:05] 这个基辅为例
[051:06] 搜索完它的关键词之后呢
[051:07] 在众多这种细分市场里面的话呢
[051:10] 找一个跟我们最相关注的细分市场
[051:12] 进入进来之后
[051:14] 我们其实像刚才有个答题到的
[051:17] 买家评论见解
[051:18] 买家评论见解
[051:19] 这是我们在前期的链接上限之前
[051:22] 我们可以重点去关注
[051:23] 到底顾客买回这种产品
[051:26] 他好评点提及率比较高的
[051:29] 还有差评点提及率比较高的原因
[051:31] 都是什么
[051:32] 我们其实可以针对这部分的话
[051:33] 去做一些改进和升级
[051:35] 这是第一个啊
[051:36] 那么在搜索词里边
[051:37] 我们是能够看到
[051:39] 以这个细分市场为例的话呢
[051:41] 那么YamaSyn的话
[051:42] 后台商店探索器里面
[051:44] 给到我们
[051:45] 有他20个这种细分市场
[051:48] 符合的关键词
[051:49] 那么这个关键词
[051:50] 我们前期再去做分析里面
[051:52] 当然我们也会发现啊
[051:53] 有一些词的话呢
[051:54] 可能是跟我们产品属性非常相关的
[051:57] 有些可能是弱相关的
[051:58] 我们可以通过这里的话
[051:59] 先去做一个分析
[052:01] 当然这个表格呢
[052:02] 我们可以直接把它下载出来
[052:04] 下载出来
[052:05] 当点开这个表格之后
[052:07] 我把这个表格呢
[052:09] 给大家来看一下啊
[052:11] 就是我共享
[052:14] 我在共享一下这个评论
[052:15] 大家稍等
[052:16] 就是我们可以先去针对这种不同的词
[052:20] 我们先去做一个分析啊
[052:25] 分析
[052:26] 那么我们来看一下
[052:27] 在商店探索器里面的话呢
[052:29] 其实搜索词选项卡里面
[052:31] 我们能够看到
[052:33] 平台会给到我们卖家
[052:35] 20个跟这个信条有关的官司
[052:38] 一个词条里面
[052:39] 有些词条
[052:40] 它是包含了一些属性的
[052:42] 比如说颜色属性啊
[052:43] 还有呢
[052:44] P字数量这种属性
[052:45] 包括可能会出现一些
[052:47] 适应场景等等这些属性
[052:48] 那么我们在前期
[052:50] 说归类的时候呢
[052:51] 其实我们不妨呢
[052:52] 可以去做一些
[052:54] 这种的一个数据统计啊
[052:56] 就是我们可以去算一下
[052:58] 他这块的一个
[053:01] 360天的一个订单数到底有多少
[053:05] 那么商店探索器里面的话
[053:07] 他这一块的一个数据统计的
[053:09] 只有搜索结果页面的数据啊
[053:11] 大家可以这样的来去实操一下
[053:12] 你像我们在看
[053:14] 这里面的话
[053:15] 会发现并没有平台直接给到我们
[053:18] 买家一个具体的一个订单数
[053:19] 但是他给到了我们一个过去360天的搜索量
[053:23] 同时呢还给到了我们一个过去360天的搜索转化率
[053:28] 当这两个值一相乘之后
[053:30] 我们是不是就能够看到
[053:31] 在过去360天在搜索结果页面里面
[053:35] 对应的这些词
[053:36] 他在这个系统计划里面所共赚出来的订单数有多少
[053:39] 那么这里面大家可以看一个
[053:41] 比较有意思的事情啊
[053:42] 就是我们呢
[053:43] 因为是20个观念词啊
[053:45] 我们可以搜索量去做个将训
[053:47] 将训呢
[053:48] 我们取前10个来标注一下
[053:50] 比如说这是我取的前10个词
[053:52] 那我们再来去把这个订单数呢
[053:53] 我们去做个将训去做个排序
[053:54] ok我标注出来是这些颜色
[053:55] 那么在这个里边的话我们就会发现一个问题啊
[053:59] 挺有意思的
[054:00] 按道理来说的话搜索量
[054:01] 因为我刚才的话是做这个将训排序
[054:02] 把前10标注个颜色
[054:03] 订单数的话我也去做个将训标注颜色
[054:05] 那会发现搜索量高的词
[054:07] 那会发现搜索量
[054:08] 
[054:08] 那确实啊
[054:09] 有一些词的话
[054:10] 订的订单供陷效率它也是比较高的
[054:11] 但是我们会发现有一些
[054:26] 比如说这块这种搜索词的话呢
[054:30] 他搜索量看似比较高
[054:32] 但是他订单效率贡献的可能却不是很高
[054:35] 那有一些双预色的词的话就是搜索量高
[054:38] 订单效率贡献的也是比较高的
[054:40] 所以我们在这里面的话就能够有所区分
[054:43] 那么这些词属性的一边的话
[054:45] 我们就可以给他先去做一下归类
[054:48] 看看他到底包含了属性是哪一些
[054:51] 那么这种属性的话
[054:53] 跟我们产品的属性的是否相关
[054:55] 大家总共分下刚才我说的这个点啊
[054:57] 逻辑点就是什么呢
[054:58] 搜索量你看高的我标注个绿色
[055:02] 订单效率贡献的订单效率
[055:04] 前十我也标注了颜色
[055:05] 那有这种双绿的
[055:07] 那也有这种搜索量
[055:09] 它不是没有标注绿色
[055:11] 但是呢订单效率他这块的话
[055:13] 我是标注了一个绿色的
[055:15] 因为都取的是前十
[055:16] 我们能够看到
[055:17] 你像有一些这种词
[055:19] 他的搜索量虽然不是很大
[055:22] 但是他订单效率贡献来看的话呢
[055:25] 他是比下方这种我标注红色的
[055:27] 他定元效率要更高
[055:28] 那么里面我们是不是就可以先去
[055:30] 尤其是在前期广告投放前的话
[055:33] 达电词库这块先去把它的一个属性词
[055:36] 给他先明确出来
[055:37] 包括这个属性的话
[055:38] 跟我产品相不相关
[055:40] 如果相关性可以
[055:42] 那他又是这个新生产里边
[055:45] 主要产生搜索
[055:46] 主要在产生订单的
[055:47] 那是不是也就是回到我们刚才的一个PT里面
[055:50] 给大家所提到的
[055:51] 我们是不是前期重点可以去表达这些词
[055:54] 相关性属性高的词
[055:55] 并且呢搜索量和订单效率贡献的也比较高
[055:59] 在商星探测器里面我们算出来之后
[056:01] 为了这些词的话
[056:03] 前期去积累我们的一个初期的数据
[056:06] 做到一个更有效的一个转换
[056:08] 为什么我们有时候会看到一些词搜索量
[056:11] 但是效率的供钱比较低呢
[056:13] 就是给大家举个例子
[056:15] 有些词的话
[056:16] 其实顾客在搜索前的话
[056:19] 他可能确实会用到这种词来去搜索
[056:22] 但是最终影响他购买决策的可能并不是这些词
[056:27] 可能是一些别的词或者说一些常委词
[056:29] 或者带有一些属性的词
[056:30] 所以呢我们前去的话
[056:31] 得把词的话
[056:32] 先去做一个这块这个划分
[056:35] 当然在这块呢看完之后啊
[056:37] 我们又可以回到我们的一个热门搜索词里面
[056:41] 来去看一下
[056:42] 比如说在这里面呢
[056:43] 比如说在这里面呢
[056:44] 我们用到这个类目的搜索上最大的一个词
[056:49] 比如说是这个Mainsuit
[056:52] 我再来给大家切一下这个屏幕
[056:54] 我们切换到我们的一个
[056:59] 这个讲课评是用的这个演示店铺
[057:02] 里面我们来看一下
[057:03] 在这我们所有词里面的话
[057:04] 我们点击一下这个Mainsuit来进行一个搜索
[057:07] 那么在这个里面其实也是建议大家
[057:09] 初期你在去做广告投放的时候
[057:12] 一个是围绕着刚才给大家介绍商店探测器里面去看
[057:16] 另外一个呢就是在热门搜索词里面
[057:19] 我们是能够看到每一个词条后的都有对应的一个搜索
[057:23] 频率排名
[057:24] 那搜索频率排名这里的值越小呢
[057:26] 也是代表这个词搜索量也会越大
[057:28] 那么我们来看一下
[057:30] 你像这种服饰品的这种的话比较常见
[057:32] 当搜索完一个这种比较核心的一个Mains
[057:35] 之后我们会发现
[057:37] 要不然是在任何搜索词里面会给到我们卖家以他为中心的好多这种拓展词
[057:43] 那么这种拓展词的话
[057:44] 我们观察一下他这块的搜索频率排名的一个趋势的变动
[057:49] 我们会发现每个层级好像都有比较多的这种模样的词
[057:56] 你比如说这块十万名以内的还有呢
[058:00] 十万到十一万的十一万十二万十三万就是他的一个下降坡多的话呢
[058:06] 会比较缓一些
[058:08] 那如果在这个里面的话呢我们确定下来有些属性词跟我们的产品
[058:13] 其实相关性非常高
[058:15] 那么我们其实就可以从这个里面第一个选词
[058:19] 第二个呢我们再去布局广告架构里面的话呢
[058:23] 也是建议大家根据这种词的一个搜索频率排名
[058:26] 就是他的一个流量层级呢
[058:28] 来去做一下划分
[058:29] 比如说我现在的话
[058:31] 再去投放了一些具体的词
[058:34] 比如说我投放了一个颜色词
[058:36] 他的AP排名是九万三
[058:39] 那么下方的话呢我可能又找到了一些属性词
[058:42] 比如说他可能会出现
[058:44] 往后呢我们可以去滑动一下来看一下
[058:46] 比如说多少 piece
[058:50] 如果是两 piece 装
[058:52] 我的也是双份装
[058:53] 那么如果这两种属性的话
[058:55] 我都想考虑要去抓住这个流量路口
[058:58] 但是我们观察一下
[058:59] 刚才一个词是九万多
[059:01] 这个词的话是三四万
[059:03] 那么我们呢还建议大家不要放到一个广告活动里面去做投放
[059:07] 就是确保一下每个流量层级的词的话都能够吃到相对的预算
[059:13] 也就回到我们刚才大家所看到的
[059:16] 我们在PT里面所提到的
[059:19] 这分别给到的商品观点词里面的50%预算
[059:24] 我们不是说是主要花在其中某些几个词上面
[059:27] 因为推进种非标品的时候
[059:29] 因为他的词非常多
[059:30] 我们只有把流量路口抓取的更多的时候
[059:34] 才能够让我们的定单变得稳定
[059:37] 你如果抓几个
[059:39] 抓几个具体的某一个词
[059:41] 打到那个精神匹配
[059:43] 这种的话
[059:44] 其实我们也会发现平台已经告给我们卖家具体的数据了
[059:48] 就是呢在我刚才给大家所看到的
[059:50] 热门搜索词里面
[059:52] 我们去观察一下
[059:55] 在这里面获得点击分额比较多的第一个ASIN
[059:59] 第二个ASIN和第三个ASIN在对应的词条里面
[060:02] 我们可以看到
[060:04] 可以说这些ASIN的话呢
[060:07] 在这个词条上面点击分额获得的比较多
[060:11] 已经是比较厉害的卖家
[060:13] 但是我们观察观察
[060:15] 他们的一个转化分额在某一个具体的词上面的话
[060:18] 也无法做到非常高
[060:20] 所以推进种类型产品的时候
[060:22] 我们一定要把什么的流量路口给它打开
[060:24] 就是我们的流量的一个
[060:26] 出手要把它做到更加多元化
[060:29] 把它抓取的更加丰富一些
[060:31] 并且去保每个属性层级上的词的话
[060:34] 都能够知道我们卖家所设置这个预算
[060:38] 
[060:38] 其实你的一个流量路口越多元
[060:42] 再结合着刚才我们跟大家说到的第二个点
[060:46] 数据跑出来之后呢
[060:47] 结合不同属性我们去以广告的实际数据去做分析
[060:51] 你每种属性单独呢
[060:53] 在你的广告报告里面去筛选一下看一下
[060:57] 所有加在一起
[060:58] 比如说包含两批子的
[061:01] 或说包含black这种属性的
[061:03] 我们分别去做一个曝光点击订单的箱子
[061:07] 来去看一下这个属性
[061:08] 对比其他的属性
[061:10] 它是否是限制的
[061:11] 我们能够拿到很有效结果的一种属性
[061:13] 如果确实是是的话
[061:15] 那我们后续呢
[061:16] 其实继续在这种属性词上面的话呢
[061:19] 去扩大我们的一个广告投入的话呢
[061:22] 将会来的更有效
[061:23] 但这个是新品期啊
[061:24] 新品期我们需要做的动作
[061:26] 其实往大的说的话
[061:28] 一个就是把词分析好
[061:29] 就属性词分析好
[061:31] 那么之后
[061:32] 第二个按照这种的一个比率的话
[061:35] 我们可以去分配一下我们的预算
[061:37] 确保的每个属性的词都知道预算之后
[061:39] 当出去有了之后
[061:41] 第三步
[061:42] 围绕着刚才说到的
[061:43] 结合属性
[061:44] 以及我们的广告报告
[061:45] 来去筛选不同属性之间去做对比
[061:47] 找到我们这阶段
[061:49] 继续去发力的一个广告投入入口
[061:52] 继续去扩大我们的一个排名和订单
[061:55] 就是在新品期呢
[061:56] 我们重点的话
[061:57] 就是结合着我们的一个这些种广告类型
[062:01] !把我们的一个listing的标签
[062:03] 画上先打明确
[062:05] 建立好良好的基础
[062:07] 那我们往下来看
[062:08] 在成长期里面呢
[062:09] 我们需要重点来去布局的广告类型
[062:14] 是什么
[062:15] 因为在成长期里面的话呢
[062:16] 我们其实通过咱们的刚才的新品期
[062:19] 我们已经有了比较多的一些数据积累
[062:22] 那在成长期里面的话
[062:23] 我们要继续把我们的整个的生意盘
[062:25] 或者说规模的话去扩大
[062:27] 那我们需要
[062:28] 融入更多的一个SB的一个广告类型的发力
[062:32] 但在这个阶段里面的话呢
[062:34] 品牌推广的一个预算占比呢
[062:37] 将会达到比较高
[062:39] 基本上是百分之五十的一个预算
[062:42] 那我们在第一阶段里面的话
[062:44] 积累好的一些关键词的话
[062:45] 我们需要去投呢
[062:46] 继续去保持住呢
[062:48] 这个肯定是必然了
[062:49] 所以呢我们得分配百分之三十预算
[062:52] 在我们新品期积累出来的数据的时候
[062:55] 在成长期里面
[062:56] 抓住这些我们第一阶段里面
[062:59] 测试出来的好的数据
[063:00] 但在这个阶段里面的话
[063:01] 我们就得去关注一下
[063:03] 在这种
[063:04] 长尾词属性相关词上面
[063:08] 抓住之后
[063:09] 这个阶段里面要把更上方一个层级的词
[063:12] 就是品类词上面去做一个放大了
[063:14] 因为我们一直去抓这种长尾词
[063:16] 这些属性化
[063:17] 或者相关性的一些部分属性呢
[063:19] 肯定流量路口会有缺失
[063:21] 所以我们在成长期里面
[063:23] 第二个阶段里面
[063:25] 我们要逐渐往品类词上面去靠
[063:27] 也就是简单来说
[063:29] 扩大我们的一个流量词
[063:31] 那么再来往下来看
[063:34] 那么在自动广告里面的话呢
[063:36] 如果我们确实有之前我们所没有发现的一些属性词跑出来
[063:41] 或者说有可能在这阶段里面
[063:43] 自动广告会跑出来
[063:45] 我们的精品的一些品牌词
[063:46] 都有可能会出现
[063:48] 但凡这种词的话
[063:50] 跑出来之后
[063:51] 我们也可以在呢
[063:52] 所有的广告活动里面
[063:53] 来去总体把这个属性的话去做一个分析
[063:56] 如果确实是非常优秀的词
[063:58] 那我们可以继续呢
[064:00] 把这种属性词的话
[064:01] 单独拉出来去做一个手动观念词的一个头发
[064:05] 用到的更多的是广泛匹配
[064:07] 或者说是词诸词词匹配
[064:09] 因为其实在去推动服装里面的话
[064:12] 精准匹配的话
[064:13] 用的相比较而言是比较少的
[064:15] 为什么这种体育类型用的比较少的
[064:17] 刚才其实已经给大家解释过了
[064:19] 就是我们在热门塑词里面的话
[064:21] 能看到
[064:22] 那些电阶比较牛
[064:24] 但是呢
[064:25] 在他们这个
[064:26] 前三名的点击分合比较多的链接里面
[064:29] 即使点击分合获得到相对来说比较高
[064:31] 但是他们的转发分合在某个具体词上面的话
[064:34] 也幻缓的很高
[064:35] 所以我们
[064:36] 一定要把我们的流量路口打开
[064:39] 所以用的更多是广泛和尺度匹配
[064:41] 但在这个阶段里面呢
[064:43] 其实我们那个链接随着我们成长期
[064:47] 还有呢新品期沉淀成长期的一个积累
[064:49] 我们的一个什么呢
[064:51] 链接转化功能力
[064:53] 包括呢我们的链接性能被注射
[064:55] view 啊
[064:56] 这些都有了积累
[064:57] 所以我们可以考虑呢
[064:58] 在这个阶段里面
[065:00] 对于一些品类
[065:02] 就是我们品类下的一些强势精品和一些弱势精品呢
[065:06] 来去做一个投放
[065:08] 那么这里面的话可以去细分两个维度
[065:10] 强势精品的话呢
[065:12] 我们并不一定啊
[065:14] 你能够拿到有效的转化
[065:16] 也并不一定拿不到什么呢
[065:19] 转化
[065:20] 所以呢这个里面的话我们去投的时候
[065:22] 强势品类主要是从它里面去抢报
[065:24] 我们验证一下数据
[065:25] 如果确实有之前我们没有发现的强势品类的一些精品
[065:29] 包括它的品牌我们在这个阶段里面可以增加一下投放
