Family Brief,Content,Metrics,Ad Products,Marketplaces
prime_day,"Advertisers in EU9 saw an increase of 44% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and are Seller and gl in Baby Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in APAC saw a ROAS of 3.33 when promoting their products using Sponsored Products and Sponsored Brands during Prime Day. (Amazon internal data, JP, AU, SG. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner advertisers who spent at least $5, Domestic based and gl in Consumables.)",ROAS (Return on Ad Spend),"Sponsored Brands, Sponsored Products","APAC, AU, JP, SG"
prime_day,"Advertisers in EU9 saw an increase of 90% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and LCS and gl in Pet Products Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in APAC saw an increase of 18% in sales using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, JP, AU, SG. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, CN based and SSO and gl in Consumables.)",Sales,Sponsored Ads,"APAC, AU, JP, SG"
prime_day,"Advertisers in EU5 saw an increase of 29% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and SSO and gl in PCA Consumables.)",DPV (Detail Page Views),Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers in APAC saw an increase of 106% in detail page views using Sponsored Products during Prime Day, when compared to average category growth. (Amazon internal data, JP, AU, SG. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and gl in Beauty Consumables.)",DPV (Detail Page Views),Sponsored Products,"APAC, AU, JP, SG"
prime_day,"Advertisers in EU10 saw an increase of 44% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and LCS and includes ASINs which are Global Star and gl in Consumables.)",Units Sold,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU9 saw a ROAS of 1.93 when promoting their products using Sponsored Products and Display ads during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner brand ready advertisers who spent at least $5 and gl in Consumables.)",ROAS (Return on Ad Spend),"Display Ads, Sponsored Products","BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in Canada saw an increase of 49% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, CA. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, ROW based and includes ASINs which are High GMS and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,CA
prime_day,"Advertisers in EU5 saw an increase of 31% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and SSO and gl in Grocery Consumables.)",Units Sold,Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers in Japan saw an increase of 41% in sales using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, JP. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and gl in Pet Products Consumables.)",Sales,Sponsored Ads,JP
prime_day,"Advertisers in NA3 saw an increase of 45% in detail page views using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, US, CA, MX. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and gl in Pet Products Consumables.)",DPV (Detail Page Views),"Sponsored Brands, Sponsored Products","CA, MX, NA, US"
prime_day,"Advertisers in NA3 saw a ROAS of 4.37 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US, CA, MX. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and LCS and gl in Baby Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"CA, MX, NA, US"
prime_day,"Advertisers in Italy saw a ROAS of 3.3 when promoting their products using Sponsored Products during Prime Day. (Amazon internal data, IT. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Products,IT
prime_day,"Advertisers in EU5 saw a ROAS of 3.74 when promoting their products using Sponsored Brands during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and LCS and gl in Pet Products Consumables.)",ROAS (Return on Ad Spend),Sponsored Brands,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers saw an increase of 223% in detail page views using Sponsored Products, Sponsored Brands and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and LCS and gl in Consumables.)",DPV (Detail Page Views),"Display Ads, Sponsored Brands, Sponsored Products",All
prime_day,"Advertisers in Germany saw an increase of 29% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, DE. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, ROW based and SSO and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,DE
prime_day,"Advertisers in EU9 saw an increase of 39% in sales using Sponsored Products and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and includes ASINs which are High GMS and gl in Consumables.)",Sales,"Display Ads, Sponsored Products","BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in EU9 saw an increase of 142% in detail page views using Sponsored Products and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are SP ready High GMS and gl in Consumables.)",DPV (Detail Page Views),"Display Ads, Sponsored Products","BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers saw an increase of 177% in units sold using Sponsored Products during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, ROA based and includes ASINs which are Global Star and gl in Consumables.)",Units Sold,Sponsored Products,All
prime_day,"Advertisers in EU9 saw an increase of 70% in units sold using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and GGS and includes ASINs which are Global Star and gl in Consumables.)",Units Sold,"Sponsored Brands, Sponsored Products","BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in APAC saw a ROAS of 2.83 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, JP, AU, SG. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and are Vendor and includes ASINs which are SP ready and gl in HPC Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"APAC, AU, JP, SG"
prime_day,"Advertisers in NA3 saw an increase of 52% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, US, CA, MX. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes non-brand owner advertisers who spent at least $5, Domestic based and SSO and gl in Consumables.)",Units Sold,Sponsored Ads,"CA, MX, NA, US"
prime_day,"Advertisers in EUX saw a ROAS of 4.73 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, NL, TR, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and are Vendor and LCS and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"BE, NL, PL, SE, TR"
prime_day,"Advertisers in EU10 saw an increase of 13% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and SSO and includes ASINs which are High GMS and gl in Baby Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU9 saw an increase of 25% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner brand ready advertisers who spent at least $5 and gl in Wine Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in NA3 saw a ROAS of 3.25 when promoting their products using Sponsored Products and Sponsored Brands during Prime Day. (Amazon internal data, US, CA, MX. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, ROW based and gl in Consumables.)",ROAS (Return on Ad Spend),"Sponsored Brands, Sponsored Products","CA, MX, NA, US"
prime_day,"Advertisers saw an increase of 13% in detail page views using Sponsored Brands and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and GGS and includes ASINs which are High GMS and gl in Consumables.)",DPV (Detail Page Views),"Display Ads, Sponsored Brands",All
prime_day,"Advertisers in NA2 saw a ROAS of 2.06 when promoting their products using Sponsored Products and Display ads during Prime Day. (Amazon internal data, US, CA. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and GGS and gl in Consumables.)",ROAS (Return on Ad Spend),"Display Ads, Sponsored Products","CA, NA, US"
prime_day,"Advertisers in MENA saw a ROAS of 1.48 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, AE, SA, EG. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and LCS and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"AE, EG, KSA, MENA"
prime_day,"Advertisers in APAC saw a ROAS of 4.69 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, JP, AU, SG. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, ROA based and SSO and includes ASINs which are SP ready and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"APAC, AU, JP, SG"
prime_day,"Advertisers in NA2 saw an increase of 44% in detail page views using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, US, CA. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and gl in Grocery Consumables.)",DPV (Detail Page Views),"Sponsored Brands, Sponsored Products","CA, NA, US"
prime_day,"Advertisers in LATAM saw an increase of 40% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, BR, MX. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and includes ASINs which are High GMS and gl in HPC Consumables.)",Units Sold,Sponsored Ads,"BR, LATAM, MX"
prime_day,"Advertisers in EU9 saw an increase of 102% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller, Domestic based and LCS and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers saw an increase of 22% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, CN based and GGS and gl in PCA Consumables.)",Units Sold,Sponsored Ads,All
prime_day,"Advertisers in the US saw a ROAS of 2.43 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are Global Star and gl in PCA Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,US
prime_day,"Advertisers in NA3 saw an increase of 64% in detail page views using Sponsored Products and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, US, CA, MX. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and gl in Beauty Consumables.)",DPV (Detail Page Views),"Display Ads, Sponsored Products","CA, MX, NA, US"
prime_day,"Advertisers in Japan saw an increase of 100% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, JP. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and gl in Grocery Consumables.)",DPV (Detail Page Views),Sponsored Ads,JP
prime_day,"Advertisers saw a ROAS of 2.93 when promoting their products using Sponsored Products, Sponsored Brands and Display ads during Prime Day. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are High GMS and gl in HPC Consumables.)",ROAS (Return on Ad Spend),"Display Ads, Sponsored Brands, Sponsored Products",All
prime_day,"Advertisers in EU10 saw an increase of 125% in units sold using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and SSO and gl in Consumables.)",Units Sold,"Sponsored Brands, Sponsored Products","BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in NA3 saw an increase of 206% in units sold using Sponsored Products, Sponsored Brands and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, US, CA, MX. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and includes ASINs which are Global Star and gl in Consumables.)",Units Sold,"Display Ads, Sponsored Brands, Sponsored Products","CA, MX, NA, US"
prime_day,"Advertisers in France saw a ROAS of 2.96 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, FR. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are Global Star and gl in HPC Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,FR
prime_day,"Advertisers in Italy saw an increase of 241% in detail page views using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, IT. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and LCS and gl in Consumables.)",DPV (Detail Page Views),"Sponsored Brands, Sponsored Products",IT
prime_day,"Advertisers in EU9 saw an increase of 129% in sales using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and gl in Luxury_Beauty Consumables.)",Sales,"Sponsored Brands, Sponsored Products","BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in EU10 saw an increase of 81% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and LCS and includes ASINs which are SP ready and gl in Baby Consumables.)",Units Sold,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU9 saw an increase of 134% in detail page views using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are High GMS and gl in Grocery Consumables.)",DPV (Detail Page Views),"Sponsored Brands, Sponsored Products","BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
